ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
ATTORNEY GENERAL,PAUL M. SCHIMPF,Republican,1162,293,25.0,ALDEN,2014_General Election
ATTORNEY GENERAL,LISA MADIGAN,Democrat,1162,288,25.0,ALDEN,2014_General Election
ATTORNEY GENERAL,BEN KOYL,Libertarian,1162,14,1.0,ALDEN,2014_General Election
ATTORNEY GENERAL,Blank Ballots,,1162,5,0.0,ALDEN,2014_General Election
ATTORNEY GENERAL,Under Votes,,1162,0,0.0,ALDEN,2014_General Election
ATTORNEY GENERAL,Over Votes,,1162,0,0.0,ALDEN,2014_General Election
COMPTROLLER,JUDY BAAR TOPINKA,Republican,1162,353,30.0,ALDEN,2014_General Election
COMPTROLLER,SHEILA SIMON,Democrat,1162,197,17.0,ALDEN,2014_General Election
COMPTROLLER,JULIE FOX,Libertarian,1162,46,4.0,ALDEN,2014_General Election
COMPTROLLER,Blank Ballots,,1162,4,0.0,ALDEN,2014_General Election
COMPTROLLER,Write-in,NonPartisan,1162,0,0.0,ALDEN,2014_General Election
COMPTROLLER,TIMOTHY GOODCASE,NonPartisan,1162,0,0.0,ALDEN,2014_General Election
COMPTROLLER,Under Votes,,1162,0,0.0,ALDEN,2014_General Election
COMPTROLLER,Over Votes,,1162,0,0.0,ALDEN,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,YES,NonPartisan,1162,468,40.0,ALDEN,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,NO,NonPartisan,1162,119,10.0,ALDEN,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Blank Ballots,,1162,13,1.0,ALDEN,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Under Votes,,1162,0,0.0,ALDEN,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Over Votes,,1162,0,0.0,ALDEN,2014_General Election
D14 REPRESENTATIVE,RANDALL M. HULTGREN,Republican,1162,362,31.0,ALDEN,2014_General Election
D14 REPRESENTATIVE,DENNIS ANDERSON,Democrat,1162,215,19.0,ALDEN,2014_General Election
D14 REPRESENTATIVE,Blank Ballots,,1162,23,2.0,ALDEN,2014_General Election
D14 REPRESENTATIVE,Under Votes,,1162,0,0.0,ALDEN,2014_General Election
D14 REPRESENTATIVE,Over Votes,,1162,0,0.0,ALDEN,2014_General Election
D2 JUD BOWMAN,MICHAEL J. BURKE,Republican,1162,473,41.0,ALDEN,2014_General Election
D2 JUD BOWMAN,Blank Ballots,,1162,127,11.0,ALDEN,2014_General Election
D2 JUD BOWMAN,Under Votes,,1162,0,0.0,ALDEN,2014_General Election
D2 JUD BOWMAN,Over Votes,,1162,0,0.0,ALDEN,2014_General Election
D63 REP ASSEMBLY,JACK D. FRANKS,Democrat,1162,335,29.0,ALDEN,2014_General Election
D63 REP ASSEMBLY,STEVEN REICK,Republican,1162,261,22.0,ALDEN,2014_General Election
D63 REP ASSEMBLY,Blank Ballots,,1162,4,0.0,ALDEN,2014_General Election
D63 REP ASSEMBLY,Under Votes,,1162,0,0.0,ALDEN,2014_General Election
D63 REP ASSEMBLY,Over Votes,,1162,0,0.0,ALDEN,2014_General Election
GOVERNOR/LT GOV,BRUCE RAUNER,Republican,1162,402,35.0,ALDEN,2014_General Election
GOVERNOR/LT GOV,PAT QUINN,Democrat,1162,169,15.0,ALDEN,2014_General Election
GOVERNOR/LT GOV,CHAD GRIMM,Libertarian,1162,26,2.0,ALDEN,2014_General Election
GOVERNOR/LT GOV,Blank Ballots,,1162,3,0.0,ALDEN,2014_General Election
GOVERNOR/LT GOV,Write-in,NonPartisan,1162,0,0.0,ALDEN,2014_General Election
GOVERNOR/LT GOV,MARK SMITH,NonPartisan,1162,0,0.0,ALDEN,2014_General Election
GOVERNOR/LT GOV,ROBERT PEREZ JR,NonPartisan,1162,0,0.0,ALDEN,2014_General Election
GOVERNOR/LT GOV,MICHAEL W. SCRUGGS,NonPartisan,1162,0,0.0,ALDEN,2014_General Election
GOVERNOR/LT GOV,RYAN SWEENEY,NonPartisan,1162,0,0.0,ALDEN,2014_General Election
GOVERNOR/LT GOV,SCOTT SUMMERS,NonPartisan,1162,0,0.0,ALDEN,2014_General Election
GOVERNOR/LT GOV,AARON MERREIGHN (LG),NonPartisan,1162,0,0.0,ALDEN,2014_General Election
GOVERNOR/LT GOV,Under Votes,,1162,0,0.0,ALDEN,2014_General Election
GOVERNOR/LT GOV,Over Votes,,1162,0,0.0,ALDEN,2014_General Election
HEALTH INSURANCE,YES,NonPartisan,1162,343,30.0,ALDEN,2014_General Election
HEALTH INSURANCE,NO,NonPartisan,1162,252,22.0,ALDEN,2014_General Election
HEALTH INSURANCE,Blank Ballots,,1162,4,0.0,ALDEN,2014_General Election
HEALTH INSURANCE,Over Votes,,1162,1,0.0,ALDEN,2014_General Election
HEALTH INSURANCE,Under Votes,,1162,0,0.0,ALDEN,2014_General Election
MILLIONAIRE TAX,NO,,1162,305,26.0,ALDEN,2014_General Election
MILLIONAIRE TAX,YES,NonPartisan,1162,280,24.0,ALDEN,2014_General Election
MILLIONAIRE TAX,Blank Ballots,,1162,15,1.0,ALDEN,2014_General Election
MILLIONAIRE TAX,Under Votes,,1162,0,0.0,ALDEN,2014_General Election
MILLIONAIRE TAX,Over Votes,,1162,0,0.0,ALDEN,2014_General Election
MINIMUM WAGE,YES,NonPartisan,1162,330,28.0,ALDEN,2014_General Election
MINIMUM WAGE,NO,NonPartisan,1162,264,23.0,ALDEN,2014_General Election
MINIMUM WAGE,Blank Ballots,,1162,6,1.0,ALDEN,2014_General Election
MINIMUM WAGE,Under Votes,,1162,0,0.0,ALDEN,2014_General Election
MINIMUM WAGE,Over Votes,,1162,0,0.0,ALDEN,2014_General Election
RET D2 APP HUTCHINSON,YES,NonPartisan,1162,420,36.0,ALDEN,2014_General Election
RET D2 APP HUTCHINSON,NO,NonPartisan,1162,115,10.0,ALDEN,2014_General Election
RET D2 APP HUTCHINSON,Blank Ballots,,1162,65,6.0,ALDEN,2014_General Election
RET D2 APP HUTCHINSON,Under Votes,,1162,0,0.0,ALDEN,2014_General Election
RET D2 APP HUTCHINSON,Over Votes,,1162,0,0.0,ALDEN,2014_General Election
RET D22 CIR CALDWELL,YES,NonPartisan,1162,412,35.0,ALDEN,2014_General Election
RET D22 CIR CALDWELL,NO,NonPartisan,1162,109,9.0,ALDEN,2014_General Election
RET D22 CIR CALDWELL,Blank Ballots,,1162,78,7.0,ALDEN,2014_General Election
RET D22 CIR CALDWELL,Over Votes,,1162,1,0.0,ALDEN,2014_General Election
RET D22 CIR CALDWELL,Under Votes,,1162,0,0.0,ALDEN,2014_General Election
RET D22 CIR PRATHER,YES,NonPartisan,1162,409,35.0,ALDEN,2014_General Election
RET D22 CIR PRATHER,NO,NonPartisan,1162,118,10.0,ALDEN,2014_General Election
RET D22 CIR PRATHER,Blank Ballots,,1162,72,6.0,ALDEN,2014_General Election
