ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",Republican,1119,471,42.0,ALDEN,2016_General Election
14TH CONGRESS,JIM WALZ,Democrat,1119,261,23.0,ALDEN,2016_General Election
14TH CONGRESS,Blank Ballots,,1119,39,3.0,ALDEN,2016_General Election
14TH CONGRESS,Under Votes,,1119,0,0.0,ALDEN,2016_General Election
14TH CONGRESS,Over Votes,,1119,0,0.0,ALDEN,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,1119,593,53.0,ALDEN,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,1119,178,16.0,ALDEN,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,1119,0,0.0,ALDEN,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,1119,0,0.0,ALDEN,2016_General Election
32ND SENATE,PAMELA ALTHOFF,Republican,1119,540,48.0,ALDEN,2016_General Election
32ND SENATE,MELISSA COYNE,Democrat,1119,203,18.0,ALDEN,2016_General Election
32ND SENATE,Blank Ballots,,1119,28,3.0,ALDEN,2016_General Election
32ND SENATE,Under Votes,,1119,0,0.0,ALDEN,2016_General Election
32ND SENATE,Over Votes,,1119,0,0.0,ALDEN,2016_General Election
63RD REPRESENTATIVE,STEVEN REICK,Republican,1119,444,40.0,ALDEN,2016_General Election
63RD REPRESENTATIVE,JOHN M. BARTMAN,Democrat,1119,300,27.0,ALDEN,2016_General Election
63RD REPRESENTATIVE,Blank Ballots,,1119,27,2.0,ALDEN,2016_General Election
63RD REPRESENTATIVE,Under Votes,,1119,0,0.0,ALDEN,2016_General Election
63RD REPRESENTATIVE,Over Votes,,1119,0,0.0,ALDEN,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,1119,463,41.0,ALDEN,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,1119,249,22.0,ALDEN,2016_General Election
COMPTROLLER,Blank Ballots,,1119,24,2.0,ALDEN,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,1119,20,2.0,ALDEN,2016_General Election
COMPTROLLER,TIM CURTIN,Green,1119,15,1.0,ALDEN,2016_General Election
COMPTROLLER,Under Votes,,1119,0,0.0,ALDEN,2016_General Election
COMPTROLLER,Over Votes,,1119,0,0.0,ALDEN,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,1119,576,51.0,ALDEN,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,1119,134,12.0,ALDEN,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,1119,59,5.0,ALDEN,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Over Votes,,1119,2,0.0,ALDEN,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Under Votes,,1119,0,0.0,ALDEN,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,1119,437,39.0,ALDEN,2016_General Election
PRESIDENT AND VICE PRESIDENT,HILLARY RODHAM CLINTON,Democrat,1119,275,25.0,ALDEN,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,1119,28,3.0,ALDEN,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,1119,15,1.0,ALDEN,2016_General Election
PRESIDENT AND VICE PRESIDENT,Blank Ballots,,1119,14,1.0,ALDEN,2016_General Election
PRESIDENT AND VICE PRESIDENT,Over Votes,,1119,1,0.0,ALDEN,2016_General Election
PRESIDENT AND VICE PRESIDENT,Evan McMullin WRI,NonPartisan,1119,1,0.0,ALDEN,2016_General Election
PRESIDENT AND VICE PRESIDENT,Under Votes,,1119,0,0.0,ALDEN,2016_General Election
PRESIDENT AND VICE PRESIDENT,Write-in,NonPartisan,1119,0,0.0,ALDEN,2016_General Election
PRESIDENT AND VICE PRESIDENT,Laio Morris WRI,NonPartisan,1119,0,0.0,ALDEN,2016_General Election
PRESIDENT AND VICE PRESIDENT,David G . Stack WRI,NonPartisan,1119,0,0.0,ALDEN,2016_General Election
PRESIDENT AND VICE PRESIDENT,Tom Hoefling WRI,NonPartisan,1119,0,0.0,ALDEN,2016_General Election
PRESIDENT AND VICE PRESIDENT,Jonathan Lee WRI,NonPartisan,1119,0,0.0,ALDEN,2016_General Election
PRESIDENT AND VICE PRESIDENT,Dem J. Wysinger WRI,NonPartisan,1119,0,0.0,ALDEN,2016_General Election
PRESIDENT AND VICE PRESIDENT,Schoenke/Mitch..WRI,NonPartisan,1119,0,0.0,ALDEN,2016_General Election
PRESIDENT AND VICE PRESIDENT,Castle/Bradley WRI,NonPartisan,1119,0,0.0,ALDEN,2016_General Election
PRESIDENT AND VICE PRESIDENT,Kotlikoff/Leam..WRI,NonPartisan,1119,0,0.0,ALDEN,2016_General Election
UNITED STATES SENATOR,MARK STEVEN KIRK,Republican,1119,416,37.0,ALDEN,2016_General Election
UNITED STATES SENATOR,TAMMY DUCKWORTH,Democrat,1119,284,25.0,ALDEN,2016_General Election
UNITED STATES SENATOR,KENTON McMILLEN,Libertarian,1119,29,3.0,ALDEN,2016_General Election
