,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
6585,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,1171,366,31.0,ALDEN 01,2018_General Election
5038,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,1171,279,24.0,ALDEN 01,2018_General Election
1,14TH CONGRESS,Under Votes,,1171,7,1.0,ALDEN 01,2018_General Election
2,14TH CONGRESS,Over Votes,,1171,0,0.0,ALDEN 01,2018_General Election
6594,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,TIFFANY DAVIS,REPUBLICAN,1171,470,40.0,ALDEN 01,2018_General Election
19,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Under Votes,,1171,109,9.0,ALDEN 01,2018_General Election
20,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Over Votes,,1171,0,0.0,ALDEN 01,2018_General Election
6593,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,1171,469,40.0,ALDEN 01,2018_General Election
17,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,1171,106,9.0,ALDEN 01,2018_General Election
18,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,1171,0,0.0,ALDEN 01,2018_General Election
9852,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,1171,459,39.0,ALDEN 01,2018_General Election
9853,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,1171,116,10.0,ALDEN 01,2018_General Election
21,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,1171,77,7.0,ALDEN 01,2018_General Election
22,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,1171,0,0.0,ALDEN 01,2018_General Election
9854,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,1171,460,39.0,ALDEN 01,2018_General Election
9855,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,1171,105,9.0,ALDEN 01,2018_General Election
23,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,1171,87,7.0,ALDEN 01,2018_General Election
24,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,1171,0,0.0,ALDEN 01,2018_General Election
6591,32ND SENATE,CRAIG WILCOX,REPUBLICAN,1171,402,34.0,ALDEN 01,2018_General Election
5044,32ND SENATE,MARY MAHADY,DEMOCRACT,1171,239,20.0,ALDEN 01,2018_General Election
13,32ND SENATE,Under Votes,,1171,11,1.0,ALDEN 01,2018_General Election
14,32ND SENATE,Over Votes,,1171,0,0.0,ALDEN 01,2018_General Election
6592,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,1171,468,40.0,ALDEN 01,2018_General Election
15,63RD REPRESENTATIVE,Under Votes,,1171,93,8.0,ALDEN 01,2018_General Election
16,63RD REPRESENTATIVE,Over Votes,,1171,0,0.0,ALDEN 01,2018_General Election
6587,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,1171,386,33.0,ALDEN 01,2018_General Election
5040,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,1171,228,19.0,ALDEN 01,2018_General Election
8575,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,1171,23,2.0,ALDEN 01,2018_General Election
5,ATTORNEY GENERAL,Under Votes,,1171,15,1.0,ALDEN 01,2018_General Election
6,ATTORNEY GENERAL,Over Votes,,1171,0,0.0,ALDEN 01,2018_General Election
6589,COMPTROLLER,DARLENE SENGER,REPUBLICAN,1171,366,31.0,ALDEN 01,2018_General Election
5042,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,1171,256,22.0,ALDEN 01,2018_General Election
8577,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,1171,17,1.0,ALDEN 01,2018_General Election
9,COMPTROLLER,Under Votes,,1171,13,1.0,ALDEN 01,2018_General Election
10,COMPTROLLER,Over Votes,,1171,0,0.0,ALDEN 01,2018_General Election
6586,GOVERNOR AND LIEUTENANT GOVERNOR,BRUCE RAUNER,REPUBLICAN,1171,396,34.0,ALDEN 01,2018_General Election
5039,GOVERNOR AND LIEUTENANT GOVERNOR,JB PRITZKER,DEMOCRACT,1171,203,17.0,ALDEN 01,2018_General Election
9634,GOVERNOR AND LIEUTENANT GOVERNOR,"WILLIAM ""SAM"" McCANN",CONSERVATIVE,1171,23,2.0,ALDEN 01,2018_General Election
8574,GOVERNOR AND LIEUTENANT GOVERNOR,GRAYSON KASH JACKSON,LIBERTARIAN,1171,15,1.0,ALDEN 01,2018_General Election
3,GOVERNOR AND LIEUTENANT GOVERNOR,Under Votes,,1171,11,1.0,ALDEN 01,2018_General Election
9851,GOVERNOR AND LIEUTENANT GOVERNOR,Write-in,NONPARTISAN,1171,4,0.0,ALDEN 01,2018_General Election
4,GOVERNOR AND LIEUTENANT GOVERNOR,Over Votes,,1171,0,0.0,ALDEN 01,2018_General Election
5041,SECRETARY OF STATE,JESSE WHITE,DEMOCRACT,1171,361,31.0,ALDEN 01,2018_General Election
6588,SECRETARY OF STATE,JASON HELLAND,REPUBLICAN,1171,274,23.0,ALDEN 01,2018_General Election
8576,SECRETARY OF STATE,STEVE DUTNER,LIBERTARIAN,1171,14,1.0,ALDEN 01,2018_General Election
7,SECRETARY OF STATE,Under Votes,,1171,3,0.0,ALDEN 01,2018_General Election
8,SECRETARY OF STATE,Over Votes,,1171,0,0.0,ALDEN 01,2018_General Election
6590,TREASURER,JIM DODGE,REPUBLICAN,1171,388,33.0,ALDEN 01,2018_General Election
5043,TREASURER,MICHAEL W. FRERICHS,DEMOCRACT,1171,223,19.0,ALDEN 01,2018_General Election
8578,TREASURER,MICHAEL LEHENEY,LIBERTARIAN,1171,22,2.0,ALDEN 01,2018_General Election
11,TREASURER,Under Votes,,1171,19,2.0,ALDEN 01,2018_General Election
12,TREASURER,Over Votes,,1171,0,0.0,ALDEN 01,2018_General Election
