ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,1187,672,57.0,ALGONQUIN 42,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,1187,188,16.0,ALGONQUIN 42,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,1187,0,0.0,ALGONQUIN 42,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,1187,0,0.0,ALGONQUIN 42,2016_General Election
66TH REPRESENTATIVE,ALLEN SKILLICORN,Republican,1187,468,39.0,ALGONQUIN 42,2016_General Election
66TH REPRESENTATIVE,NANCY A. ZETTLER,Democrat,1187,343,29.0,ALGONQUIN 42,2016_General Election
66TH REPRESENTATIVE,Blank Ballots,,1187,49,4.0,ALGONQUIN 42,2016_General Election
66TH REPRESENTATIVE,Under Votes,,1187,0,0.0,ALGONQUIN 42,2016_General Election
66TH REPRESENTATIVE,Over Votes,,1187,0,0.0,ALGONQUIN 42,2016_General Election
6TH CONGRESS,PETER J. ROSKAM,Republican,1187,491,41.0,ALGONQUIN 42,2016_General Election
6TH CONGRESS,AMANDA HOWLAND,Democrat,1187,341,29.0,ALGONQUIN 42,2016_General Election
6TH CONGRESS,Blank Ballots,,1187,30,3.0,ALGONQUIN 42,2016_General Election
6TH CONGRESS,Under Votes,,1187,0,0.0,ALGONQUIN 42,2016_General Election
6TH CONGRESS,Over Votes,,1187,0,0.0,ALGONQUIN 42,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,1187,440,37.0,ALGONQUIN 42,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,1187,333,28.0,ALGONQUIN 42,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,1187,45,4.0,ALGONQUIN 42,2016_General Election
COMPTROLLER,Blank Ballots,,1187,30,3.0,ALGONQUIN 42,2016_General Election
COMPTROLLER,TIM CURTIN,Green,1187,12,1.0,ALGONQUIN 42,2016_General Election
COMPTROLLER,Under Votes,,1187,0,0.0,ALGONQUIN 42,2016_General Election
COMPTROLLER,Over Votes,,1187,0,0.0,ALGONQUIN 42,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,1187,609,51.0,ALGONQUIN 42,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,1187,190,16.0,ALGONQUIN 42,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,1187,61,5.0,ALGONQUIN 42,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Under Votes,,1187,0,0.0,ALGONQUIN 42,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Over Votes,,1187,0,0.0,ALGONQUIN 42,2016_General Election
PRESIDENT AND VICE PRESIDENT,HILLARY RODHAM CLINTON,Democrat,1187,390,33.0,ALGONQUIN 42,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,1187,385,32.0,ALGONQUIN 42,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,1187,51,4.0,ALGONQUIN 42,2016_General Election
PRESIDENT AND VICE PRESIDENT,Blank Ballots,,1187,21,2.0,ALGONQUIN 42,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,1187,14,1.0,ALGONQUIN 42,2016_General Election
PRESIDENT AND VICE PRESIDENT,Evan McMullin WRI,NonPartisan,1187,1,0.0,ALGONQUIN 42,2016_General Election
PRESIDENT AND VICE PRESIDENT,Under Votes,,1187,0,0.0,ALGONQUIN 42,2016_General Election
PRESIDENT AND VICE PRESIDENT,Over Votes,,1187,0,0.0,ALGONQUIN 42,2016_General Election
PRESIDENT AND VICE PRESIDENT,Write-in,NonPartisan,1187,0,0.0,ALGONQUIN 42,2016_General Election
PRESIDENT AND VICE PRESIDENT,Laio Morris WRI,NonPartisan,1187,0,0.0,ALGONQUIN 42,2016_General Election
PRESIDENT AND VICE PRESIDENT,David G . Stack WRI,NonPartisan,1187,0,0.0,ALGONQUIN 42,2016_General Election
PRESIDENT AND VICE PRESIDENT,Tom Hoefling WRI,NonPartisan,1187,0,0.0,ALGONQUIN 42,2016_General Election
PRESIDENT AND VICE PRESIDENT,Jonathan Lee WRI,NonPartisan,1187,0,0.0,ALGONQUIN 42,2016_General Election
PRESIDENT AND VICE PRESIDENT,Dem J. Wysinger WRI,NonPartisan,1187,0,0.0,ALGONQUIN 42,2016_General Election
PRESIDENT AND VICE PRESIDENT,Schoenke/Mitch..WRI,NonPartisan,1187,0,0.0,ALGONQUIN 42,2016_General Election
PRESIDENT AND VICE PRESIDENT,Castle/Bradley WRI,NonPartisan,1187,0,0.0,ALGONQUIN 42,2016_General Election
PRESIDENT AND VICE PRESIDENT,Kotlikoff/Leam..WRI,NonPartisan,1187,0,0.0,ALGONQUIN 42,2016_General Election
UNITED STATES SENATOR,MARK STEVEN KIRK,Republican,1187,419,35.0,ALGONQUIN 42,2016_General Election
UNITED STATES SENATOR,TAMMY DUCKWORTH,Democrat,1187,360,30.0,ALGONQUIN 42,2016_General Election
UNITED STATES SENATOR,KENTON McMILLEN,Libertarian,1187,44,4.0,ALGONQUIN 42,2016_General Election
UNITED STATES SENATOR,SCOTT SUMMERS,Green,1187,21,2.0,ALGONQUIN 42,2016_General Election
UNITED STATES SENATOR,Blank Ballots,,1187,17,1.0,ALGONQUIN 42,2016_General Election
UNITED STATES SENATOR,Chad Koppie WRI,NonPartisan,1187,1,0.0,ALGONQUIN 42,2016_General Election
UNITED STATES SENATOR,Under Votes,,1187,0,0.0,ALGONQUIN 42,2016_General Election
UNITED STATES SENATOR,Over Votes,,1187,0,0.0,ALGONQUIN 42,2016_General Election
UNITED STATES SENATOR,Write-in,NonPartisan,1187,0,0.0,ALGONQUIN 42,2016_General Election
UNITED STATES SENATOR,Jim Brown WRI,NonPartisan,1187,0,0.0,ALGONQUIN 42,2016_General Election
UNITED STATES SENATOR,Susana Sandoval WRI,NonPartisan,1187,0,0.0,ALGONQUIN 42,2016_General Election
UNITED STATES SENATOR,Eric K J Stewert WRI,NonPartisan,1187,0,0.0,ALGONQUIN 42,2016_General Election
UNITED STATES SENATOR,Chris M Aguayo WRI,NonPartisan,1187,0,0.0,ALGONQUIN 42,2016_General Election
