,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
7014,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,1145,447,39.0,ALGONQUIN 46,2018_General Election
1089,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,1145,112,10.0,ALGONQUIN 46,2018_General Election
1090,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,1145,0,0.0,ALGONQUIN 46,2018_General Election
10082,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,1145,447,39.0,ALGONQUIN 46,2018_General Election
10083,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,1145,147,13.0,ALGONQUIN 46,2018_General Election
1091,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,1145,87,8.0,ALGONQUIN 46,2018_General Election
1092,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,1145,0,0.0,ALGONQUIN 46,2018_General Election
7012,26TH SENATE,DAN McCONCHIE,REPUBLICAN,1145,351,31.0,ALGONQUIN 46,2018_General Election
5373,26TH SENATE,TOM GEORGES,DEMOCRACT,1145,313,27.0,ALGONQUIN 46,2018_General Election
1085,26TH SENATE,Under Votes,,1145,17,1.0,ALGONQUIN 46,2018_General Election
1086,26TH SENATE,Over Votes,,1145,0,0.0,ALGONQUIN 46,2018_General Election
10084,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,1145,467,41.0,ALGONQUIN 46,2018_General Election
10085,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,1145,124,11.0,ALGONQUIN 46,2018_General Election
1093,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,1145,90,8.0,ALGONQUIN 46,2018_General Election
1094,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,1145,0,0.0,ALGONQUIN 46,2018_General Election
7013,52ND REPRESENTATIVE,DAVID McSWEENEY,REPUBLICAN,1145,451,39.0,ALGONQUIN 46,2018_General Election
1087,52ND REPRESENTATIVE,Under Votes,,1145,101,9.0,ALGONQUIN 46,2018_General Election
1088,52ND REPRESENTATIVE,Over Votes,,1145,0,0.0,ALGONQUIN 46,2018_General Election
5367,6TH CONGRESS,SEAN CASTEN,DEMOCRACT,1145,378,33.0,ALGONQUIN 46,2018_General Election
7006,6TH CONGRESS,PETER J. ROSKAM,REPUBLICAN,1145,293,26.0,ALGONQUIN 46,2018_General Election
1073,6TH CONGRESS,Under Votes,,1145,10,1.0,ALGONQUIN 46,2018_General Election
1074,6TH CONGRESS,Over Votes,,1145,0,0.0,ALGONQUIN 46,2018_General Election
7008,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,1145,328,29.0,ALGONQUIN 46,2018_General Election
5369,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,1145,322,28.0,ALGONQUIN 46,2018_General Election
8805,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,1145,25,2.0,ALGONQUIN 46,2018_General Election
1077,ATTORNEY GENERAL,Under Votes,,1145,6,1.0,ALGONQUIN 46,2018_General Election
1078,ATTORNEY GENERAL,Over Votes,,1145,0,0.0,ALGONQUIN 46,2018_General Election
5371,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,1145,335,29.0,ALGONQUIN 46,2018_General Election
7010,COMPTROLLER,DARLENE SENGER,REPUBLICAN,1145,298,26.0,ALGONQUIN 46,2018_General Election
8807,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,1145,32,3.0,ALGONQUIN 46,2018_General Election
1081,COMPTROLLER,Under Votes,,1145,16,1.0,ALGONQUIN 46,2018_General Election
1082,COMPTROLLER,Over Votes,,1145,0,0.0,ALGONQUIN 46,2018_General Election
7007,GOVERNOR AND LIEUTENANT GOVERNOR,BRUCE RAUNER,REPUBLICAN,1145,340,30.0,ALGONQUIN 46,2018_General Election
5368,GOVERNOR AND LIEUTENANT GOVERNOR,JB PRITZKER,DEMOCRACT,1145,289,25.0,ALGONQUIN 46,2018_General Election
9680,GOVERNOR AND LIEUTENANT GOVERNOR,"WILLIAM ""SAM"" McCANN",CONSERVATIVE,1145,26,2.0,ALGONQUIN 46,2018_General Election
8804,GOVERNOR AND LIEUTENANT GOVERNOR,GRAYSON KASH JACKSON,LIBERTARIAN,1145,15,1.0,ALGONQUIN 46,2018_General Election
1075,GOVERNOR AND LIEUTENANT GOVERNOR,Under Votes,,1145,6,1.0,ALGONQUIN 46,2018_General Election
