ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",Republican,1375,639,46.0,BURTON 3,2016_General Election
14TH CONGRESS,JIM WALZ,Democrat,1375,237,17.0,BURTON 3,2016_General Election
14TH CONGRESS,Blank Ballots,,1375,35,3.0,BURTON 3,2016_General Election
14TH CONGRESS,Under Votes,,1375,0,0.0,BURTON 3,2016_General Election
14TH CONGRESS,Over Votes,,1375,0,0.0,BURTON 3,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,1375,738,54.0,BURTON 3,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,1375,171,12.0,BURTON 3,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,1375,0,0.0,BURTON 3,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,1375,0,0.0,BURTON 3,2016_General Election
32ND SENATE,PAMELA ALTHOFF,Republican,1375,677,49.0,BURTON 3,2016_General Election
32ND SENATE,MELISSA COYNE,Democrat,1375,190,14.0,BURTON 3,2016_General Election
32ND SENATE,Blank Ballots,,1375,42,3.0,BURTON 3,2016_General Election
32ND SENATE,Under Votes,,1375,0,0.0,BURTON 3,2016_General Election
32ND SENATE,Over Votes,,1375,0,0.0,BURTON 3,2016_General Election
64TH REPRESENTATIVE,BARBARA WHEELER,Republican,1375,753,55.0,BURTON 3,2016_General Election
64TH REPRESENTATIVE,Blank Ballots,,1375,156,11.0,BURTON 3,2016_General Election
64TH REPRESENTATIVE,Under Votes,,1375,0,0.0,BURTON 3,2016_General Election
64TH REPRESENTATIVE,Over Votes,,1375,0,0.0,BURTON 3,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,1375,617,45.0,BURTON 3,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,1375,218,16.0,BURTON 3,2016_General Election
COMPTROLLER,Blank Ballots,,1375,34,2.0,BURTON 3,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,1375,24,2.0,BURTON 3,2016_General Election
COMPTROLLER,TIM CURTIN,Green,1375,16,1.0,BURTON 3,2016_General Election
COMPTROLLER,Under Votes,,1375,0,0.0,BURTON 3,2016_General Election
COMPTROLLER,Over Votes,,1375,0,0.0,BURTON 3,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,1375,664,48.0,BURTON 3,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,1375,186,14.0,BURTON 3,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,1375,59,4.0,BURTON 3,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Under Votes,,1375,0,0.0,BURTON 3,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Over Votes,,1375,0,0.0,BURTON 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,1375,569,41.0,BURTON 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,HILLARY RODHAM CLINTON,Democrat,1375,270,20.0,BURTON 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,1375,41,3.0,BURTON 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Blank Ballots,,1375,21,2.0,BURTON 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,1375,8,1.0,BURTON 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Evan McMullin WRI,NonPartisan,1375,2,0.0,BURTON 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Under Votes,,1375,0,0.0,BURTON 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Over Votes,,1375,0,0.0,BURTON 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Write-in,NonPartisan,1375,0,0.0,BURTON 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Laio Morris WRI,NonPartisan,1375,0,0.0,BURTON 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,David G . Stack WRI,NonPartisan,1375,0,0.0,BURTON 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Tom Hoefling WRI,NonPartisan,1375,0,0.0,BURTON 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Jonathan Lee WRI,NonPartisan,1375,0,0.0,BURTON 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Dem J. Wysinger WRI,NonPartisan,1375,0,0.0,BURTON 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Schoenke/Mitch..WRI,NonPartisan,1375,0,0.0,BURTON 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Castle/Bradley WRI,NonPartisan,1375,0,0.0,BURTON 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Kotlikoff/Leam..WRI,NonPartisan,1375,0,0.0,BURTON 3,2016_General Election
UNITED STATES SENATOR,MARK STEVEN KIRK,Republican,1375,574,42.0,BURTON 3,2016_General Election
UNITED STATES SENATOR,TAMMY DUCKWORTH,Democrat,1375,269,20.0,BURTON 3,2016_General Election
UNITED STATES SENATOR,KENTON McMILLEN,Libertarian,1375,36,3.0,BURTON 3,2016_General Election
UNITED STATES SENATOR,Blank Ballots,,1375,19,1.0,BURTON 3,2016_General Election
UNITED STATES SENATOR,SCOTT SUMMERS,Green,1375,13,1.0,BURTON 3,2016_General Election
UNITED STATES SENATOR,Under Votes,,1375,0,0.0,BURTON 3,2016_General Election
UNITED STATES SENATOR,Over Votes,,1375,0,0.0,BURTON 3,2016_General Election
UNITED STATES SENATOR,Write-in,NonPartisan,1375,0,0.0,BURTON 3,2016_General Election
UNITED STATES SENATOR,Jim Brown WRI,NonPartisan,1375,0,0.0,BURTON 3,2016_General Election
UNITED STATES SENATOR,Susana Sandoval WRI,NonPartisan,1375,0,0.0,BURTON 3,2016_General Election
UNITED STATES SENATOR,Chad Koppie WRI,NonPartisan,1375,0,0.0,BURTON 3,2016_General Election
UNITED STATES SENATOR,Eric K J Stewert WRI,NonPartisan,1375,0,0.0,BURTON 3,2016_General Election
UNITED STATES SENATOR,Chris M Aguayo WRI,NonPartisan,1375,0,0.0,BURTON 3,2016_General Election
