,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
7233,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,1455,450,31.0,BURTON 3,2018_General Election
5545,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,1455,271,19.0,BURTON 3,2018_General Election
1652,14TH CONGRESS,Under Votes,,1455,4,0.0,BURTON 3,2018_General Election
1653,14TH CONGRESS,Over Votes,,1455,0,0.0,BURTON 3,2018_General Election
7241,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,1455,556,38.0,BURTON 3,2018_General Election
1668,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,1455,101,7.0,BURTON 3,2018_General Election
1669,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,1455,0,0.0,BURTON 3,2018_General Election
10207,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,1455,470,32.0,BURTON 3,2018_General Election
10208,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,1455,150,10.0,BURTON 3,2018_General Election
1670,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,1455,105,7.0,BURTON 3,2018_General Election
1671,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,1455,0,0.0,BURTON 3,2018_General Election
10209,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,1455,487,33.0,BURTON 3,2018_General Election
10210,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,1455,132,9.0,BURTON 3,2018_General Election
1672,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,1455,106,7.0,BURTON 3,2018_General Election
1673,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,1455,0,0.0,BURTON 3,2018_General Election
7239,32ND SENATE,CRAIG WILCOX,REPUBLICAN,1455,490,34.0,BURTON 3,2018_General Election
5551,32ND SENATE,MARY MAHADY,DEMOCRACT,1455,229,16.0,BURTON 3,2018_General Election
1664,32ND SENATE,Under Votes,,1455,5,0.0,BURTON 3,2018_General Election
1665,32ND SENATE,Over Votes,,1455,1,0.0,BURTON 3,2018_General Election
7240,64TH REPRESENTATIVE,TOM WEBER,REPUBLICAN,1455,480,33.0,BURTON 3,2018_General Election
5552,64TH REPRESENTATIVE,TRISHA ZUBERT,DEMOCRACT,1455,232,16.0,BURTON 3,2018_General Election
1666,64TH REPRESENTATIVE,Under Votes,,1455,13,1.0,BURTON 3,2018_General Election
1667,64TH REPRESENTATIVE,Over Votes,,1455,0,0.0,BURTON 3,2018_General Election
7235,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,1455,473,33.0,BURTON 3,2018_General Election
5547,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,1455,235,16.0,BURTON 3,2018_General Election
8930,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,1455,11,1.0,BURTON 3,2018_General Election
1656,ATTORNEY GENERAL,Under Votes,,1455,5,0.0,BURTON 3,2018_General Election
1657,ATTORNEY GENERAL,Over Votes,,1455,1,0.0,BURTON 3,2018_General Election
7237,COMPTROLLER,DARLENE SENGER,REPUBLICAN,1455,440,30.0,BURTON 3,2018_General Election
5549,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,1455,258,18.0,BURTON 3,2018_General Election
8932,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,1455,17,1.0,BURTON 3,2018_General Election
1660,COMPTROLLER,Under Votes,,1455,10,1.0,BURTON 3,2018_General Election
1661,COMPTROLLER,Over Votes,,1455,0,0.0,BURTON 3,2018_General Election
7234,GOVERNOR AND LIEUTENANT GOVERNOR,BRUCE RAUNER,REPUBLICAN,1455,467,32.0,BURTON 3,2018_General Election
5546,GOVERNOR AND LIEUTENANT GOVERNOR,JB PRITZKER,DEMOCRACT,1455,211,15.0,BURTON 3,2018_General Election
9705,GOVERNOR AND LIEUTENANT GOVERNOR,"WILLIAM ""SAM"" McCANN",CONSERVATIVE,1455,25,2.0,BURTON 3,2018_General Election
8929,GOVERNOR AND LIEUTENANT GOVERNOR,GRAYSON KASH JACKSON,LIBERTARIAN,1455,14,1.0,BURTON 3,2018_General Election
1654,GOVERNOR AND LIEUTENANT GOVERNOR,Under Votes,,1455,8,1.0,BURTON 3,2018_General Election
1655,GOVERNOR AND LIEUTENANT GOVERNOR,Over Votes,,1455,0,0.0,BURTON 3,2018_General Election
