ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",Republican,870,303,35.0,CHEMUNG 1,2016_General Election
14TH CONGRESS,JIM WALZ,Democrat,870,222,26.0,CHEMUNG 1,2016_General Election
14TH CONGRESS,Blank Ballots,,870,20,2.0,CHEMUNG 1,2016_General Election
14TH CONGRESS,Under Votes,,870,0,0.0,CHEMUNG 1,2016_General Election
14TH CONGRESS,Over Votes,,870,0,0.0,CHEMUNG 1,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,870,428,49.0,CHEMUNG 1,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,870,114,13.0,CHEMUNG 1,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,870,0,0.0,CHEMUNG 1,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,870,0,0.0,CHEMUNG 1,2016_General Election
32ND SENATE,PAMELA ALTHOFF,Republican,870,347,40.0,CHEMUNG 1,2016_General Election
32ND SENATE,MELISSA COYNE,Democrat,870,170,20.0,CHEMUNG 1,2016_General Election
32ND SENATE,Blank Ballots,,870,25,3.0,CHEMUNG 1,2016_General Election
32ND SENATE,Under Votes,,870,0,0.0,CHEMUNG 1,2016_General Election
32ND SENATE,Over Votes,,870,0,0.0,CHEMUNG 1,2016_General Election
63RD REPRESENTATIVE,STEVEN REICK,Republican,870,278,32.0,CHEMUNG 1,2016_General Election
63RD REPRESENTATIVE,JOHN M. BARTMAN,Democrat,870,245,28.0,CHEMUNG 1,2016_General Election
63RD REPRESENTATIVE,Blank Ballots,,870,19,2.0,CHEMUNG 1,2016_General Election
63RD REPRESENTATIVE,Under Votes,,870,0,0.0,CHEMUNG 1,2016_General Election
63RD REPRESENTATIVE,Over Votes,,870,0,0.0,CHEMUNG 1,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,870,285,33.0,CHEMUNG 1,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,870,203,23.0,CHEMUNG 1,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,870,24,3.0,CHEMUNG 1,2016_General Election
COMPTROLLER,TIM CURTIN,Green,870,17,2.0,CHEMUNG 1,2016_General Election
COMPTROLLER,Blank Ballots,,870,13,1.0,CHEMUNG 1,2016_General Election
COMPTROLLER,Under Votes,,870,0,0.0,CHEMUNG 1,2016_General Election
COMPTROLLER,Over Votes,,870,0,0.0,CHEMUNG 1,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,870,401,46.0,CHEMUNG 1,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,870,101,12.0,CHEMUNG 1,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,870,40,5.0,CHEMUNG 1,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Under Votes,,870,0,0.0,CHEMUNG 1,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Over Votes,,870,0,0.0,CHEMUNG 1,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,870,245,28.0,CHEMUNG 1,2016_General Election
PRESIDENT AND VICE PRESIDENT,HILLARY RODHAM CLINTON,Democrat,870,238,27.0,CHEMUNG 1,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,870,37,4.0,CHEMUNG 1,2016_General Election
PRESIDENT AND VICE PRESIDENT,Blank Ballots,,870,13,1.0,CHEMUNG 1,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,870,11,1.0,CHEMUNG 1,2016_General Election
PRESIDENT AND VICE PRESIDENT,Evan McMullin WRI,NonPartisan,870,1,0.0,CHEMUNG 1,2016_General Election
PRESIDENT AND VICE PRESIDENT,Under Votes,,870,0,0.0,CHEMUNG 1,2016_General Election
PRESIDENT AND VICE PRESIDENT,Over Votes,,870,0,0.0,CHEMUNG 1,2016_General Election
PRESIDENT AND VICE PRESIDENT,Write-in,NonPartisan,870,0,0.0,CHEMUNG 1,2016_General Election
PRESIDENT AND VICE PRESIDENT,Laio Morris WRI,NonPartisan,870,0,0.0,CHEMUNG 1,2016_General Election
PRESIDENT AND VICE PRESIDENT,David G . Stack WRI,NonPartisan,870,0,0.0,CHEMUNG 1,2016_General Election
PRESIDENT AND VICE PRESIDENT,Tom Hoefling WRI,NonPartisan,870,0,0.0,CHEMUNG 1,2016_General Election
PRESIDENT AND VICE PRESIDENT,Jonathan Lee WRI,NonPartisan,870,0,0.0,CHEMUNG 1,2016_General Election
PRESIDENT AND VICE PRESIDENT,Dem J. Wysinger WRI,NonPartisan,870,0,0.0,CHEMUNG 1,2016_General Election
PRESIDENT AND VICE PRESIDENT,Schoenke/Mitch..WRI,NonPartisan,870,0,0.0,CHEMUNG 1,2016_General Election
PRESIDENT AND VICE PRESIDENT,Castle/Bradley WRI,NonPartisan,870,0,0.0,CHEMUNG 1,2016_General Election
PRESIDENT AND VICE PRESIDENT,Kotlikoff/Leam..WRI,NonPartisan,870,0,0.0,CHEMUNG 1,2016_General Election
UNITED STATES SENATOR,MARK STEVEN KIRK,Republican,870,246,28.0,CHEMUNG 1,2016_General Election
UNITED STATES SENATOR,TAMMY DUCKWORTH,Democrat,870,239,27.0,CHEMUNG 1,2016_General Election
UNITED STATES SENATOR,KENTON McMILLEN,Libertarian,870,38,4.0,CHEMUNG 1,2016_General Election
UNITED STATES SENATOR,SCOTT SUMMERS,Green,870,15,2.0,CHEMUNG 1,2016_General Election
UNITED STATES SENATOR,Blank Ballots,,870,7,1.0,CHEMUNG 1,2016_General Election
UNITED STATES SENATOR,Under Votes,,870,0,0.0,CHEMUNG 1,2016_General Election
UNITED STATES SENATOR,Over Votes,,870,0,0.0,CHEMUNG 1,2016_General Election
UNITED STATES SENATOR,Write-in,NonPartisan,870,0,0.0,CHEMUNG 1,2016_General Election
UNITED STATES SENATOR,Jim Brown WRI,NonPartisan,870,0,0.0,CHEMUNG 1,2016_General Election
UNITED STATES SENATOR,Susana Sandoval WRI,NonPartisan,870,0,0.0,CHEMUNG 1,2016_General Election
UNITED STATES SENATOR,Chad Koppie WRI,NonPartisan,870,0,0.0,CHEMUNG 1,2016_General Election
UNITED STATES SENATOR,Eric K J Stewert WRI,NonPartisan,870,0,0.0,CHEMUNG 1,2016_General Election
UNITED STATES SENATOR,Chris M Aguayo WRI,NonPartisan,870,0,0.0,CHEMUNG 1,2016_General Election
