,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
5567,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,912,184,20.0,CHEMUNG 3,2018_General Election
7262,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,912,159,17.0,CHEMUNG 3,2018_General Election
1725,14TH CONGRESS,Under Votes,,912,6,1.0,CHEMUNG 3,2018_General Election
1726,14TH CONGRESS,Over Votes,,912,0,0.0,CHEMUNG 3,2018_General Election
7271,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,TIFFANY DAVIS,REPUBLICAN,912,242,27.0,CHEMUNG 3,2018_General Election
1743,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Under Votes,,912,48,5.0,CHEMUNG 3,2018_General Election
1744,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Over Votes,,912,0,0.0,CHEMUNG 3,2018_General Election
7270,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,912,240,26.0,CHEMUNG 3,2018_General Election
1741,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,912,48,5.0,CHEMUNG 3,2018_General Election
1742,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,912,0,0.0,CHEMUNG 3,2018_General Election
10222,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,912,235,26.0,CHEMUNG 3,2018_General Election
10223,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,912,73,8.0,CHEMUNG 3,2018_General Election
1745,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,912,41,4.0,CHEMUNG 3,2018_General Election
1746,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,912,0,0.0,CHEMUNG 3,2018_General Election
10224,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,912,238,26.0,CHEMUNG 3,2018_General Election
10225,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,912,66,7.0,CHEMUNG 3,2018_General Election
1747,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,912,45,5.0,CHEMUNG 3,2018_General Election
1748,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,912,0,0.0,CHEMUNG 3,2018_General Election
7268,32ND SENATE,CRAIG WILCOX,REPUBLICAN,912,182,20.0,CHEMUNG 3,2018_General Election
5573,32ND SENATE,MARY MAHADY,DEMOCRACT,912,159,17.0,CHEMUNG 3,2018_General Election
1737,32ND SENATE,Under Votes,,912,8,1.0,CHEMUNG 3,2018_General Election
1738,32ND SENATE,Over Votes,,912,0,0.0,CHEMUNG 3,2018_General Election
7269,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,912,246,27.0,CHEMUNG 3,2018_General Election
1739,63RD REPRESENTATIVE,Under Votes,,912,44,5.0,CHEMUNG 3,2018_General Election
1740,63RD REPRESENTATIVE,Over Votes,,912,0,0.0,CHEMUNG 3,2018_General Election
7264,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,912,177,19.0,CHEMUNG 3,2018_General Election
5569,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,912,151,17.0,CHEMUNG 3,2018_General Election
8945,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,912,14,2.0,CHEMUNG 3,2018_General Election
1729,ATTORNEY GENERAL,Under Votes,,912,7,1.0,CHEMUNG 3,2018_General Election
1730,ATTORNEY GENERAL,Over Votes,,912,0,0.0,CHEMUNG 3,2018_General Election
5571,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,912,174,19.0,CHEMUNG 3,2018_General Election
7266,COMPTROLLER,DARLENE SENGER,REPUBLICAN,912,156,17.0,CHEMUNG 3,2018_General Election
8947,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,912,14,2.0,CHEMUNG 3,2018_General Election
1733,COMPTROLLER,Under Votes,,912,5,1.0,CHEMUNG 3,2018_General Election
1734,COMPTROLLER,Over Votes,,912,0,0.0,CHEMUNG 3,2018_General Election
7263,GOVERNOR AND LIEUTENANT GOVERNOR,BRUCE RAUNER,REPUBLICAN,912,170,19.0,CHEMUNG 3,2018_General Election
5568,GOVERNOR AND LIEUTENANT GOVERNOR,JB PRITZKER,DEMOCRACT,912,144,16.0,CHEMUNG 3,2018_General Election
8944,GOVERNOR AND LIEUTENANT GOVERNOR,GRAYSON KASH JACKSON,LIBERTARIAN,912,16,2.0,CHEMUNG 3,2018_General Election
9708,GOVERNOR AND LIEUTENANT GOVERNOR,"WILLIAM ""SAM"" McCANN",CONSERVATIVE,912,11,1.0,CHEMUNG 3,2018_General Election
1727,GOVERNOR AND LIEUTENANT GOVERNOR,Under Votes,,912,4,0.0,CHEMUNG 3,2018_General Election
1728,GOVERNOR AND LIEUTENANT GOVERNOR,Over Votes,,912,2,0.0,CHEMUNG 3,2018_General Election
10221,GOVERNOR AND LIEUTENANT GOVERNOR,Write-in,NONPARTISAN,912,2,0.0,CHEMUNG 3,2018_General Election
5570,SECRETARY OF STATE,JESSE WHITE,DEMOCRACT,912,213,23.0,CHEMUNG 3,2018_General Election
7265,SECRETARY OF STATE,JASON HELLAND,REPUBLICAN,912,120,13.0,CHEMUNG 3,2018_General Election
8946,SECRETARY OF STATE,STEVE DUTNER,LIBERTARIAN,912,12,1.0,CHEMUNG 3,2018_General Election
1731,SECRETARY OF STATE,Under Votes,,912,4,0.0,CHEMUNG 3,2018_General Election
1732,SECRETARY OF STATE,Over Votes,,912,0,0.0,CHEMUNG 3,2018_General Election
7267,TREASURER,JIM DODGE,REPUBLICAN,912,163,18.0,CHEMUNG 3,2018_General Election
5572,TREASURER,MICHAEL W. FRERICHS,DEMOCRACT,912,150,16.0,CHEMUNG 3,2018_General Election
8948,TREASURER,MICHAEL LEHENEY,LIBERTARIAN,912,26,3.0,CHEMUNG 3,2018_General Election
1735,TREASURER,Under Votes,,912,10,1.0,CHEMUNG 3,2018_General Election
1736,TREASURER,Over Votes,,912,0,0.0,CHEMUNG 3,2018_General Election
