,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
7292,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,934,325,35.0,CORAL 1,2018_General Election
5588,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,934,174,19.0,CORAL 1,2018_General Election
1800,14TH CONGRESS,Under Votes,,934,6,1.0,CORAL 1,2018_General Election
1801,14TH CONGRESS,Over Votes,,934,0,0.0,CORAL 1,2018_General Election
7301,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,TIFFANY DAVIS,REPUBLICAN,934,376,40.0,CORAL 1,2018_General Election
1818,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Under Votes,,934,84,9.0,CORAL 1,2018_General Election
1819,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Over Votes,,934,0,0.0,CORAL 1,2018_General Election
7300,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,934,382,41.0,CORAL 1,2018_General Election
1816,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,934,81,9.0,CORAL 1,2018_General Election
1817,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,934,0,0.0,CORAL 1,2018_General Election
10237,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,934,345,37.0,CORAL 1,2018_General Election
10238,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,934,89,10.0,CORAL 1,2018_General Election
1820,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,934,71,8.0,CORAL 1,2018_General Election
1821,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,934,0,0.0,CORAL 1,2018_General Election
10239,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,934,364,39.0,CORAL 1,2018_General Election
10240,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,934,73,8.0,CORAL 1,2018_General Election
1822,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,934,68,7.0,CORAL 1,2018_General Election
