ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",Republican,902,437,48.0,CORAL 3,2016_General Election
14TH CONGRESS,JIM WALZ,Democrat,902,180,20.0,CORAL 3,2016_General Election
14TH CONGRESS,Blank Ballots,,902,23,3.0,CORAL 3,2016_General Election
14TH CONGRESS,Under Votes,,902,0,0.0,CORAL 3,2016_General Election
14TH CONGRESS,Over Votes,,902,0,0.0,CORAL 3,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,902,536,59.0,CORAL 3,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,902,104,12.0,CORAL 3,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,902,0,0.0,CORAL 3,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,902,0,0.0,CORAL 3,2016_General Election
32ND SENATE,PAMELA ALTHOFF,Republican,902,488,54.0,CORAL 3,2016_General Election
32ND SENATE,MELISSA COYNE,Democrat,902,135,15.0,CORAL 3,2016_General Election
32ND SENATE,Blank Ballots,,902,17,2.0,CORAL 3,2016_General Election
32ND SENATE,Under Votes,,902,0,0.0,CORAL 3,2016_General Election
32ND SENATE,Over Votes,,902,0,0.0,CORAL 3,2016_General Election
63RD REPRESENTATIVE,STEVEN REICK,Republican,902,427,47.0,CORAL 3,2016_General Election
63RD REPRESENTATIVE,JOHN M. BARTMAN,Democrat,902,191,21.0,CORAL 3,2016_General Election
63RD REPRESENTATIVE,Blank Ballots,,902,22,2.0,CORAL 3,2016_General Election
63RD REPRESENTATIVE,Under Votes,,902,0,0.0,CORAL 3,2016_General Election
63RD REPRESENTATIVE,Over Votes,,902,0,0.0,CORAL 3,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,902,433,48.0,CORAL 3,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,902,157,17.0,CORAL 3,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,902,27,3.0,CORAL 3,2016_General Election
COMPTROLLER,Blank Ballots,,902,14,2.0,CORAL 3,2016_General Election
COMPTROLLER,TIM CURTIN,Green,902,9,1.0,CORAL 3,2016_General Election
COMPTROLLER,Under Votes,,902,0,0.0,CORAL 3,2016_General Election
COMPTROLLER,Over Votes,,902,0,0.0,CORAL 3,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,902,486,54.0,CORAL 3,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,902,134,15.0,CORAL 3,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,902,20,2.0,CORAL 3,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Under Votes,,902,0,0.0,CORAL 3,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Over Votes,,902,0,0.0,CORAL 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,902,380,42.0,CORAL 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,HILLARY RODHAM CLINTON,Democrat,902,210,23.0,CORAL 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,902,25,3.0,CORAL 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Blank Ballots,,902,18,2.0,CORAL 3,2016_General Election
