ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
ATTORNEY GENERAL,PAUL M. SCHIMPF,Republican,1479,378,26.0,DORR 11,2014_General Election
ATTORNEY GENERAL,LISA MADIGAN,Democrat,1479,322,22.0,DORR 11,2014_General Election
ATTORNEY GENERAL,BEN KOYL,Libertarian,1479,25,2.0,DORR 11,2014_General Election
ATTORNEY GENERAL,Blank Ballots,,1479,12,1.0,DORR 11,2014_General Election
ATTORNEY GENERAL,Under Votes,,1479,0,0.0,DORR 11,2014_General Election
ATTORNEY GENERAL,Over Votes,,1479,0,0.0,DORR 11,2014_General Election
COMPTROLLER,JUDY BAAR TOPINKA,Republican,1479,440,30.0,DORR 11,2014_General Election
COMPTROLLER,SHEILA SIMON,Democrat,1479,228,15.0,DORR 11,2014_General Election
COMPTROLLER,JULIE FOX,Libertarian,1479,56,4.0,DORR 11,2014_General Election
COMPTROLLER,Blank Ballots,,1479,13,1.0,DORR 11,2014_General Election
COMPTROLLER,Write-in,NonPartisan,1479,0,0.0,DORR 11,2014_General Election
COMPTROLLER,TIMOTHY GOODCASE,NonPartisan,1479,0,0.0,DORR 11,2014_General Election
COMPTROLLER,Under Votes,,1479,0,0.0,DORR 11,2014_General Election
COMPTROLLER,Over Votes,,1479,0,0.0,DORR 11,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,YES,NonPartisan,1479,538,36.0,DORR 11,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,NO,NonPartisan,1479,167,11.0,DORR 11,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Blank Ballots,,1479,32,2.0,DORR 11,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Under Votes,,1479,0,0.0,DORR 11,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Over Votes,,1479,0,0.0,DORR 11,2014_General Election
D14 REPRESENTATIVE,RANDALL M. HULTGREN,Republican,1479,473,32.0,DORR 11,2014_General Election
D14 REPRESENTATIVE,DENNIS ANDERSON,Democrat,1479,236,16.0,DORR 11,2014_General Election
D14 REPRESENTATIVE,Blank Ballots,,1479,28,2.0,DORR 11,2014_General Election
D14 REPRESENTATIVE,Under Votes,,1479,0,0.0,DORR 11,2014_General Election
D14 REPRESENTATIVE,Over Votes,,1479,0,0.0,DORR 11,2014_General Election
D2 JUD BOWMAN,MICHAEL J. BURKE,Republican,1479,579,39.0,DORR 11,2014_General Election
D2 JUD BOWMAN,Blank Ballots,,1479,158,11.0,DORR 11,2014_General Election
D2 JUD BOWMAN,Under Votes,,1479,0,0.0,DORR 11,2014_General Election
D2 JUD BOWMAN,Over Votes,,1479,0,0.0,DORR 11,2014_General Election
D64 REP ASSEMBLY,BARBARA WHEELER,Republican,1479,516,35.0,DORR 11,2014_General Election
D64 REP ASSEMBLY,JOEL MAINS,Democrat,1479,188,13.0,DORR 11,2014_General Election
D64 REP ASSEMBLY,Blank Ballots,,1479,33,2.0,DORR 11,2014_General Election
D64 REP ASSEMBLY,Under Votes,,1479,0,0.0,DORR 11,2014_General Election
D64 REP ASSEMBLY,Over Votes,,1479,0,0.0,DORR 11,2014_General Election
GOVERNOR/LT GOV,BRUCE RAUNER,Republican,1479,506,34.0,DORR 11,2014_General Election
GOVERNOR/LT GOV,PAT QUINN,Democrat,1479,197,13.0,DORR 11,2014_General Election
GOVERNOR/LT GOV,CHAD GRIMM,Libertarian,1479,24,2.0,DORR 11,2014_General Election
GOVERNOR/LT GOV,Blank Ballots,,1479,9,1.0,DORR 11,2014_General Election
GOVERNOR/LT GOV,Write-in,NonPartisan,1479,1,0.0,DORR 11,2014_General Election
GOVERNOR/LT GOV,MARK SMITH,NonPartisan,1479,0,0.0,DORR 11,2014_General Election
GOVERNOR/LT GOV,ROBERT PEREZ JR,NonPartisan,1479,0,0.0,DORR 11,2014_General Election
GOVERNOR/LT GOV,MICHAEL W. SCRUGGS,NonPartisan,1479,0,0.0,DORR 11,2014_General Election
GOVERNOR/LT GOV,RYAN SWEENEY,NonPartisan,1479,0,0.0,DORR 11,2014_General Election
GOVERNOR/LT GOV,SCOTT SUMMERS,NonPartisan,1479,0,0.0,DORR 11,2014_General Election
GOVERNOR/LT GOV,AARON MERREIGHN (LG),NonPartisan,1479,0,0.0,DORR 11,2014_General Election
GOVERNOR/LT GOV,Under Votes,,1479,0,0.0,DORR 11,2014_General Election
GOVERNOR/LT GOV,Over Votes,,1479,0,0.0,DORR 11,2014_General Election
HEALTH INSURANCE,YES,NonPartisan,1479,428,29.0,DORR 11,2014_General Election
HEALTH INSURANCE,NO,NonPartisan,1479,297,20.0,DORR 11,2014_General Election
HEALTH INSURANCE,Blank Ballots,,1479,12,1.0,DORR 11,2014_General Election
HEALTH INSURANCE,Under Votes,,1479,0,0.0,DORR 11,2014_General Election
HEALTH INSURANCE,Over Votes,,1479,0,0.0,DORR 11,2014_General Election
MILLIONAIRE TAX,NO,,1479,368,25.0,DORR 11,2014_General Election
MILLIONAIRE TAX,YES,NonPartisan,1479,340,23.0,DORR 11,2014_General Election
MILLIONAIRE TAX,Blank Ballots,,1479,29,2.0,DORR 11,2014_General Election
MILLIONAIRE TAX,Under Votes,,1479,0,0.0,DORR 11,2014_General Election
MILLIONAIRE TAX,Over Votes,,1479,0,0.0,DORR 11,2014_General Election
MINIMUM WAGE,YES,NonPartisan,1479,403,27.0,DORR 11,2014_General Election
MINIMUM WAGE,NO,NonPartisan,1479,321,22.0,DORR 11,2014_General Election
MINIMUM WAGE,Blank Ballots,,1479,13,1.0,DORR 11,2014_General Election
MINIMUM WAGE,Under Votes,,1479,0,0.0,DORR 11,2014_General Election
MINIMUM WAGE,Over Votes,,1479,0,0.0,DORR 11,2014_General Election
RET D2 APP HUTCHINSON,YES,NonPartisan,1479,516,35.0,DORR 11,2014_General Election
RET D2 APP HUTCHINSON,NO,NonPartisan,1479,113,8.0,DORR 11,2014_General Election
RET D2 APP HUTCHINSON,Blank Ballots,,1479,108,7.0,DORR 11,2014_General Election
RET D2 APP HUTCHINSON,Under Votes,,1479,0,0.0,DORR 11,2014_General Election
RET D2 APP HUTCHINSON,Over Votes,,1479,0,0.0,DORR 11,2014_General Election
RET D22 CIR CALDWELL,YES,NonPartisan,1479,493,33.0,DORR 11,2014_General Election
RET D22 CIR CALDWELL,NO,NonPartisan,1479,131,9.0,DORR 11,2014_General Election
RET D22 CIR CALDWELL,Blank Ballots,,1479,113,8.0,DORR 11,2014_General Election
RET D22 CIR CALDWELL,Under Votes,,1479,0,0.0,DORR 11,2014_General Election
RET D22 CIR CALDWELL,Over Votes,,1479,0,0.0,DORR 11,2014_General Election
RET D22 CIR PRATHER,YES,NonPartisan,1479,512,35.0,DORR 11,2014_General Election
RET D22 CIR PRATHER,NO,NonPartisan,1479,129,9.0,DORR 11,2014_General Election
RET D22 CIR PRATHER,Blank Ballots,,1479,96,6.0,DORR 11,2014_General Election
RET D22 CIR PRATHER,Under Votes,,1479,0,0.0,DORR 11,2014_General Election
RET D22 CIR PRATHER,Over Votes,,1479,0,0.0,DORR 11,2014_General Election
RET D22 CIR SULLIVAN,YES,NonPartisan,1479,506,34.0,DORR 11,2014_General Election
RET D22 CIR SULLIVAN,NO,NonPartisan,1479,118,8.0,DORR 11,2014_General Election
RET D22 CIR SULLIVAN,Blank Ballots,,1479,113,8.0,DORR 11,2014_General Election
RET D22 CIR SULLIVAN,Under Votes,,1479,0,0.0,DORR 11,2014_General Election
RET D22 CIR SULLIVAN,Over Votes,,1479,0,0.0,DORR 11,2014_General Election
SECRETARY OF STATE,JESSE WHITE,Democrat,1479,387,26.0,DORR 11,2014_General Election
SECRETARY OF STATE,MICHAEL WEBSTER,Republican,1479,308,21.0,DORR 11,2014_General Election
SECRETARY OF STATE,CHRISTOPHER MICHEL,Libertarian,1479,25,2.0,DORR 11,2014_General Election
SECRETARY OF STATE,Blank Ballots,,1479,16,1.0,DORR 11,2014_General Election
SECRETARY OF STATE,Write-in,NonPartisan,1479,1,0.0,DORR 11,2014_General Election
SECRETARY OF STATE,SHELDON SCHAFER,NonPartisan,1479,0,0.0,DORR 11,2014_General Election
