ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",Republican,1736,691,40.0,DORR 11,2016_General Election
14TH CONGRESS,JIM WALZ,Democrat,1736,379,22.0,DORR 11,2016_General Election
14TH CONGRESS,Blank Ballots,,1736,42,2.0,DORR 11,2016_General Election
14TH CONGRESS,Under Votes,,1736,0,0.0,DORR 11,2016_General Election
14TH CONGRESS,Over Votes,,1736,0,0.0,DORR 11,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,1736,860,50.0,DORR 11,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,1736,251,14.0,DORR 11,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,1736,0,0.0,DORR 11,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,1736,0,0.0,DORR 11,2016_General Election
32ND SENATE,PAMELA ALTHOFF,Republican,1736,770,44.0,DORR 11,2016_General Election
32ND SENATE,MELISSA COYNE,Democrat,1736,308,18.0,DORR 11,2016_General Election
32ND SENATE,Blank Ballots,,1736,33,2.0,DORR 11,2016_General Election
32ND SENATE,Under Votes,,1736,0,0.0,DORR 11,2016_General Election
32ND SENATE,Over Votes,,1736,0,0.0,DORR 11,2016_General Election
64TH REPRESENTATIVE,BARBARA WHEELER,Republican,1736,874,50.0,DORR 11,2016_General Election
64TH REPRESENTATIVE,Blank Ballots,,1736,237,14.0,DORR 11,2016_General Election
64TH REPRESENTATIVE,Under Votes,,1736,0,0.0,DORR 11,2016_General Election
64TH REPRESENTATIVE,Over Votes,,1736,0,0.0,DORR 11,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,1736,662,38.0,DORR 11,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,1736,335,19.0,DORR 11,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,1736,52,3.0,DORR 11,2016_General Election
COMPTROLLER,Blank Ballots,,1736,33,2.0,DORR 11,2016_General Election
COMPTROLLER,TIM CURTIN,Green,1736,29,2.0,DORR 11,2016_General Election
COMPTROLLER,Under Votes,,1736,0,0.0,DORR 11,2016_General Election
COMPTROLLER,Over Votes,,1736,0,0.0,DORR 11,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,1736,797,46.0,DORR 11,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,1736,232,13.0,DORR 11,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,1736,82,5.0,DORR 11,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Under Votes,,1736,0,0.0,DORR 11,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Over Votes,,1736,0,0.0,DORR 11,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,1736,576,33.0,DORR 11,2016_General Election
PRESIDENT AND VICE PRESIDENT,HILLARY RODHAM CLINTON,Democrat,1736,433,25.0,DORR 11,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,1736,71,4.0,DORR 11,2016_General Election
PRESIDENT AND VICE PRESIDENT,Blank Ballots,,1736,17,1.0,DORR 11,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,1736,10,1.0,DORR 11,2016_General Election
PRESIDENT AND VICE PRESIDENT,Evan McMullin WRI,NonPartisan,1736,4,0.0,DORR 11,2016_General Election
PRESIDENT AND VICE PRESIDENT,Castle/Bradley WRI,NonPartisan,1736,1,0.0,DORR 11,2016_General Election
PRESIDENT AND VICE PRESIDENT,Under Votes,,1736,0,0.0,DORR 11,2016_General Election
PRESIDENT AND VICE PRESIDENT,Over Votes,,1736,0,0.0,DORR 11,2016_General Election
PRESIDENT AND VICE PRESIDENT,Write-in,NonPartisan,1736,0,0.0,DORR 11,2016_General Election
PRESIDENT AND VICE PRESIDENT,Laio Morris WRI,NonPartisan,1736,0,0.0,DORR 11,2016_General Election
PRESIDENT AND VICE PRESIDENT,David G . Stack WRI,NonPartisan,1736,0,0.0,DORR 11,2016_General Election
PRESIDENT AND VICE PRESIDENT,Tom Hoefling WRI,NonPartisan,1736,0,0.0,DORR 11,2016_General Election
PRESIDENT AND VICE PRESIDENT,Jonathan Lee WRI,NonPartisan,1736,0,0.0,DORR 11,2016_General Election
PRESIDENT AND VICE PRESIDENT,Dem J. Wysinger WRI,NonPartisan,1736,0,0.0,DORR 11,2016_General Election
PRESIDENT AND VICE PRESIDENT,Schoenke/Mitch..WRI,NonPartisan,1736,0,0.0,DORR 11,2016_General Election
PRESIDENT AND VICE PRESIDENT,Kotlikoff/Leam..WRI,NonPartisan,1736,0,0.0,DORR 11,2016_General Election
UNITED STATES SENATOR,MARK STEVEN KIRK,Republican,1736,582,34.0,DORR 11,2016_General Election
UNITED STATES SENATOR,TAMMY DUCKWORTH,Democrat,1736,419,24.0,DORR 11,2016_General Election
UNITED STATES SENATOR,KENTON McMILLEN,Libertarian,1736,58,3.0,DORR 11,2016_General Election
UNITED STATES SENATOR,Blank Ballots,,1736,27,2.0,DORR 11,2016_General Election
UNITED STATES SENATOR,SCOTT SUMMERS,Green,1736,26,1.0,DORR 11,2016_General Election
