,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
7453,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,574,215,37.0,DORR 14,2018_General Election
5702,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,574,172,30.0,DORR 14,2018_General Election
2202,14TH CONGRESS,Under Votes,,574,4,1.0,DORR 14,2018_General Election
2203,14TH CONGRESS,Over Votes,,574,0,0.0,DORR 14,2018_General Election
7462,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,TIFFANY DAVIS,REPUBLICAN,574,271,47.0,DORR 14,2018_General Election
2220,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Under Votes,,574,63,11.0,DORR 14,2018_General Election
2221,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Over Votes,,574,0,0.0,DORR 14,2018_General Election
7461,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,574,282,49.0,DORR 14,2018_General Election
2218,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,574,56,10.0,DORR 14,2018_General Election
2219,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,574,0,0.0,DORR 14,2018_General Election
10317,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,574,266,46.0,DORR 14,2018_General Election
10318,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,574,71,12.0,DORR 14,2018_General Election
2222,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,574,54,9.0,DORR 14,2018_General Election
2223,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,574,0,0.0,DORR 14,2018_General Election
10319,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,574,275,48.0,DORR 14,2018_General Election
2224,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,574,62,11.0,DORR 14,2018_General Election
10320,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,574,54,9.0,DORR 14,2018_General Election
2225,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,574,0,0.0,DORR 14,2018_General Election
7459,32ND SENATE,CRAIG WILCOX,REPUBLICAN,574,240,42.0,DORR 14,2018_General Election
5708,32ND SENATE,MARY MAHADY,DEMOCRACT,574,146,25.0,DORR 14,2018_General Election
2214,32ND SENATE,Under Votes,,574,5,1.0,DORR 14,2018_General Election
2215,32ND SENATE,Over Votes,,574,0,0.0,DORR 14,2018_General Election
7460,64TH REPRESENTATIVE,TOM WEBER,REPUBLICAN,574,234,41.0,DORR 14,2018_General Election
5709,64TH REPRESENTATIVE,TRISHA ZUBERT,DEMOCRACT,574,149,26.0,DORR 14,2018_General Election
2216,64TH REPRESENTATIVE,Under Votes,,574,8,1.0,DORR 14,2018_General Election
2217,64TH REPRESENTATIVE,Over Votes,,574,0,0.0,DORR 14,2018_General Election
7455,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,574,238,41.0,DORR 14,2018_General Election
5704,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,574,141,25.0,DORR 14,2018_General Election
9040,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,574,10,2.0,DORR 14,2018_General Election
2206,ATTORNEY GENERAL,Under Votes,,574,2,0.0,DORR 14,2018_General Election
2207,ATTORNEY GENERAL,Over Votes,,574,0,0.0,DORR 14,2018_General Election
7457,COMPTROLLER,DARLENE SENGER,REPUBLICAN,574,209,36.0,DORR 14,2018_General Election
5706,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,574,165,29.0,DORR 14,2018_General Election
9042,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,574,10,2.0,DORR 14,2018_General Election
2210,COMPTROLLER,Under Votes,,574,7,1.0,DORR 14,2018_General Election
2211,COMPTROLLER,Over Votes,,574,0,0.0,DORR 14,2018_General Election
7454,GOVERNOR AND LIEUTENANT GOVERNOR,BRUCE RAUNER,REPUBLICAN,574,242,42.0,DORR 14,2018_General Election
5703,GOVERNOR AND LIEUTENANT GOVERNOR,JB PRITZKER,DEMOCRACT,574,122,21.0,DORR 14,2018_General Election
9039,GOVERNOR AND LIEUTENANT GOVERNOR,GRAYSON KASH JACKSON,LIBERTARIAN,574,15,3.0,DORR 14,2018_General Election
9727,GOVERNOR AND LIEUTENANT GOVERNOR,"WILLIAM ""SAM"" McCANN",CONSERVATIVE,574,7,1.0,DORR 14,2018_General Election
2204,GOVERNOR AND LIEUTENANT GOVERNOR,Under Votes,,574,4,1.0,DORR 14,2018_General Election
10316,GOVERNOR AND LIEUTENANT GOVERNOR,Write-in,NONPARTISAN,574,1,0.0,DORR 14,2018_General Election
2205,GOVERNOR AND LIEUTENANT GOVERNOR,Over Votes,,574,0,0.0,DORR 14,2018_General Election
5705,SECRETARY OF STATE,JESSE WHITE,DEMOCRACT,574,207,36.0,DORR 14,2018_General Election
7456,SECRETARY OF STATE,JASON HELLAND,REPUBLICAN,574,169,29.0,DORR 14,2018_General Election
9041,SECRETARY OF STATE,STEVE DUTNER,LIBERTARIAN,574,8,1.0,DORR 14,2018_General Election
2208,SECRETARY OF STATE,Under Votes,,574,7,1.0,DORR 14,2018_General Election
2209,SECRETARY OF STATE,Over Votes,,574,0,0.0,DORR 14,2018_General Election
7458,TREASURER,JIM DODGE,REPUBLICAN,574,223,39.0,DORR 14,2018_General Election
5707,TREASURER,MICHAEL W. FRERICHS,DEMOCRACT,574,144,25.0,DORR 14,2018_General Election
2212,TREASURER,Under Votes,,574,14,2.0,DORR 14,2018_General Election
9043,TREASURER,MICHAEL LEHENEY,LIBERTARIAN,574,10,2.0,DORR 14,2018_General Election
2213,TREASURER,Over Votes,,574,0,0.0,DORR 14,2018_General Election
