ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
ATTORNEY GENERAL,LISA MADIGAN,Democrat,1672,349,21.0,DUNHAM,2014_General Election
ATTORNEY GENERAL,PAUL M. SCHIMPF,Republican,1672,346,21.0,DUNHAM,2014_General Election
ATTORNEY GENERAL,BEN KOYL,Libertarian,1672,26,2.0,DUNHAM,2014_General Election
ATTORNEY GENERAL,Blank Ballots,,1672,9,1.0,DUNHAM,2014_General Election
ATTORNEY GENERAL,Under Votes,,1672,0,0.0,DUNHAM,2014_General Election
ATTORNEY GENERAL,Over Votes,,1672,0,0.0,DUNHAM,2014_General Election
COMPTROLLER,JUDY BAAR TOPINKA,Republican,1672,400,24.0,DUNHAM,2014_General Election
COMPTROLLER,SHEILA SIMON,Democrat,1672,253,15.0,DUNHAM,2014_General Election
COMPTROLLER,JULIE FOX,Libertarian,1672,59,4.0,DUNHAM,2014_General Election
COMPTROLLER,Blank Ballots,,1672,18,1.0,DUNHAM,2014_General Election
COMPTROLLER,Write-in,NonPartisan,1672,0,0.0,DUNHAM,2014_General Election
COMPTROLLER,TIMOTHY GOODCASE,NonPartisan,1672,0,0.0,DUNHAM,2014_General Election
COMPTROLLER,Under Votes,,1672,0,0.0,DUNHAM,2014_General Election
COMPTROLLER,Over Votes,,1672,0,0.0,DUNHAM,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,YES,NonPartisan,1672,529,32.0,DUNHAM,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,NO,NonPartisan,1672,174,10.0,DUNHAM,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Blank Ballots,,1672,27,2.0,DUNHAM,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Under Votes,,1672,0,0.0,DUNHAM,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Over Votes,,1672,0,0.0,DUNHAM,2014_General Election
D14 REPRESENTATIVE,RANDALL M. HULTGREN,Republican,1672,445,27.0,DUNHAM,2014_General Election
D14 REPRESENTATIVE,DENNIS ANDERSON,Democrat,1672,249,15.0,DUNHAM,2014_General Election
D14 REPRESENTATIVE,Blank Ballots,,1672,36,2.0,DUNHAM,2014_General Election
D14 REPRESENTATIVE,Under Votes,,1672,0,0.0,DUNHAM,2014_General Election
D14 REPRESENTATIVE,Over Votes,,1672,0,0.0,DUNHAM,2014_General Election
D2 JUD BOWMAN,MICHAEL J. BURKE,Republican,1672,568,34.0,DUNHAM,2014_General Election
D2 JUD BOWMAN,Blank Ballots,,1672,162,10.0,DUNHAM,2014_General Election
D2 JUD BOWMAN,Under Votes,,1672,0,0.0,DUNHAM,2014_General Election
D2 JUD BOWMAN,Over Votes,,1672,0,0.0,DUNHAM,2014_General Election
D63 REP ASSEMBLY,JACK D. FRANKS,Democrat,1672,367,22.0,DUNHAM,2014_General Election
D63 REP ASSEMBLY,STEVEN REICK,Republican,1672,351,21.0,DUNHAM,2014_General Election
D63 REP ASSEMBLY,Blank Ballots,,1672,12,1.0,DUNHAM,2014_General Election
D63 REP ASSEMBLY,Under Votes,,1672,0,0.0,DUNHAM,2014_General Election
D63 REP ASSEMBLY,Over Votes,,1672,0,0.0,DUNHAM,2014_General Election
GOVERNOR/LT GOV,BRUCE RAUNER,Republican,1672,485,29.0,DUNHAM,2014_General Election
GOVERNOR/LT GOV,PAT QUINN,Democrat,1672,211,13.0,DUNHAM,2014_General Election
GOVERNOR/LT GOV,CHAD GRIMM,Libertarian,1672,28,2.0,DUNHAM,2014_General Election
GOVERNOR/LT GOV,Blank Ballots,,1672,4,0.0,DUNHAM,2014_General Election
