,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
5710,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,1757,417,24.0,DUNHAM,2018_General Election
7463,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,1757,406,23.0,DUNHAM,2018_General Election
2227,14TH CONGRESS,Under Votes,,1757,10,1.0,DUNHAM,2018_General Election
2228,14TH CONGRESS,Over Votes,,1757,0,0.0,DUNHAM,2018_General Election
7472,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,TIFFANY DAVIS,REPUBLICAN,1757,576,33.0,DUNHAM,2018_General Election
2245,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Under Votes,,1757,115,7.0,DUNHAM,2018_General Election
2246,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Over Votes,,1757,0,0.0,DUNHAM,2018_General Election
7471,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,1757,573,33.0,DUNHAM,2018_General Election
2243,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,1757,115,7.0,DUNHAM,2018_General Election
2244,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,1757,1,0.0,DUNHAM,2018_General Election
10322,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,1757,583,33.0,DUNHAM,2018_General Election
10323,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,1757,162,9.0,DUNHAM,2018_General Election
2247,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,1757,88,5.0,DUNHAM,2018_General Election
2248,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,1757,0,0.0,DUNHAM,2018_General Election
10324,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,1757,573,33.0,DUNHAM,2018_General Election
10325,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,1757,157,9.0,DUNHAM,2018_General Election
2249,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,1757,103,6.0,DUNHAM,2018_General Election
2250,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,1757,0,0.0,DUNHAM,2018_General Election
7469,32ND SENATE,CRAIG WILCOX,REPUBLICAN,1757,459,26.0,DUNHAM,2018_General Election
5716,32ND SENATE,MARY MAHADY,DEMOCRACT,1757,357,20.0,DUNHAM,2018_General Election
2239,32ND SENATE,Under Votes,,1757,17,1.0,DUNHAM,2018_General Election
2240,32ND SENATE,Over Votes,,1757,0,0.0,DUNHAM,2018_General Election
7470,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,1757,573,33.0,DUNHAM,2018_General Election
2241,63RD REPRESENTATIVE,Under Votes,,1757,103,6.0,DUNHAM,2018_General Election
2242,63RD REPRESENTATIVE,Over Votes,,1757,0,0.0,DUNHAM,2018_General Election
7465,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,1757,458,26.0,DUNHAM,2018_General Election
5712,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,1757,332,19.0,DUNHAM,2018_General Election
9045,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,1757,32,2.0,DUNHAM,2018_General Election
2231,ATTORNEY GENERAL,Under Votes,,1757,11,1.0,DUNHAM,2018_General Election
2232,ATTORNEY GENERAL,Over Votes,,1757,0,0.0,DUNHAM,2018_General Election
7467,COMPTROLLER,DARLENE SENGER,REPUBLICAN,1757,421,24.0,DUNHAM,2018_General Election
5714,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,1757,373,21.0,DUNHAM,2018_General Election
9047,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,1757,27,2.0,DUNHAM,2018_General Election
2235,COMPTROLLER,Under Votes,,1757,11,1.0,DUNHAM,2018_General Election
2236,COMPTROLLER,Over Votes,,1757,1,0.0,DUNHAM,2018_General Election
7464,GOVERNOR AND LIEUTENANT GOVERNOR,BRUCE RAUNER,REPUBLICAN,1757,451,26.0,DUNHAM,2018_General Election
5711,GOVERNOR AND LIEUTENANT GOVERNOR,JB PRITZKER,DEMOCRACT,1757,307,17.0,DUNHAM,2018_General Election
9728,GOVERNOR AND LIEUTENANT GOVERNOR,"WILLIAM ""SAM"" McCANN",CONSERVATIVE,1757,34,2.0,DUNHAM,2018_General Election
9044,GOVERNOR AND LIEUTENANT GOVERNOR,GRAYSON KASH JACKSON,LIBERTARIAN,1757,25,1.0,DUNHAM,2018_General Election
2229,GOVERNOR AND LIEUTENANT GOVERNOR,Under Votes,,1757,11,1.0,DUNHAM,2018_General Election
10321,GOVERNOR AND LIEUTENANT GOVERNOR,Write-in,NONPARTISAN,1757,4,0.0,DUNHAM,2018_General Election
2230,GOVERNOR AND LIEUTENANT GOVERNOR,Over Votes,,1757,1,0.0,DUNHAM,2018_General Election
5713,SECRETARY OF STATE,JESSE WHITE,DEMOCRACT,1757,474,27.0,DUNHAM,2018_General Election
7466,SECRETARY OF STATE,JASON HELLAND,REPUBLICAN,1757,331,19.0,DUNHAM,2018_General Election
9046,SECRETARY OF STATE,STEVE DUTNER,LIBERTARIAN,1757,19,1.0,DUNHAM,2018_General Election
2233,SECRETARY OF STATE,Under Votes,,1757,9,1.0,DUNHAM,2018_General Election
2234,SECRETARY OF STATE,Over Votes,,1757,0,0.0,DUNHAM,2018_General Election
7468,TREASURER,JIM DODGE,REPUBLICAN,1757,440,25.0,DUNHAM,2018_General Election
5715,TREASURER,MICHAEL W. FRERICHS,DEMOCRACT,1757,339,19.0,DUNHAM,2018_General Election
9048,TREASURER,MICHAEL LEHENEY,LIBERTARIAN,1757,32,2.0,DUNHAM,2018_General Election
2237,TREASURER,Under Votes,,1757,22,1.0,DUNHAM,2018_General Election
2238,TREASURER,Over Votes,,1757,0,0.0,DUNHAM,2018_General Election
