ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",Republican,1398,548,39.0,GRAFTON 18,2016_General Election
14TH CONGRESS,JIM WALZ,Democrat,1398,385,28.0,GRAFTON 18,2016_General Election
14TH CONGRESS,Blank Ballots,,1398,54,4.0,GRAFTON 18,2016_General Election
14TH CONGRESS,Under Votes,,1398,0,0.0,GRAFTON 18,2016_General Election
14TH CONGRESS,Over Votes,,1398,0,0.0,GRAFTON 18,2016_General Election
22ND CIRCUIT- GRAFTONHAM VACANCY,JAMES S. COWLIN,Republican,1398,769,55.0,GRAFTON 18,2016_General Election
22ND CIRCUIT- GRAFTONHAM VACANCY,Blank Ballots,,1398,217,16.0,GRAFTON 18,2016_General Election
22ND CIRCUIT- GRAFTONHAM VACANCY,Under Votes,,1398,0,0.0,GRAFTON 18,2016_General Election
22ND CIRCUIT- GRAFTONHAM VACANCY,Over Votes,,1398,0,0.0,GRAFTON 18,2016_General Election
66TH REPRESENTATIVE,ALLEN SKILLICORN,Republican,1398,572,41.0,GRAFTON 18,2016_General Election
66TH REPRESENTATIVE,NANCY A. ZETTLER,Democrat,1398,367,26.0,GRAFTON 18,2016_General Election
66TH REPRESENTATIVE,Blank Ballots,,1398,47,3.0,GRAFTON 18,2016_General Election
66TH REPRESENTATIVE,Under Votes,,1398,0,0.0,GRAFTON 18,2016_General Election
66TH REPRESENTATIVE,Over Votes,,1398,0,0.0,GRAFTON 18,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,1398,557,40.0,GRAFTON 18,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,1398,361,26.0,GRAFTON 18,2016_General Election
COMPTROLLER,Blank Ballots,,1398,38,3.0,GRAFTON 18,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,1398,20,1.0,GRAFTON 18,2016_General Election
COMPTROLLER,TIM CURTIN,Green,1398,10,1.0,GRAFTON 18,2016_General Election
COMPTROLLER,Under Votes,,1398,0,0.0,GRAFTON 18,2016_General Election
COMPTROLLER,Over Votes,,1398,0,0.0,GRAFTON 18,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,1398,745,53.0,GRAFTON 18,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,1398,168,12.0,GRAFTON 18,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,1398,73,5.0,GRAFTON 18,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Under Votes,,1398,0,0.0,GRAFTON 18,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Over Votes,,1398,0,0.0,GRAFTON 18,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,1398,473,34.0,GRAFTON 18,2016_General Election
