,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
5852,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,1510,364,24.0,GRAFTON 19,2018_General Election
7644,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,1510,252,17.0,GRAFTON 19,2018_General Election
2684,14TH CONGRESS,Under Votes,,1510,5,0.0,GRAFTON 19,2018_General Election
2685,14TH CONGRESS,Over Votes,,1510,0,0.0,GRAFTON 19,2018_General Election
7652,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,1510,364,24.0,GRAFTON 19,2018_General Election
2700,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,1510,83,5.0,GRAFTON 19,2018_General Election
2701,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,1510,1,0.0,GRAFTON 19,2018_General Election
10417,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,1510,408,27.0,GRAFTON 19,2018_General Election
10418,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,1510,142,9.0,GRAFTON 19,2018_General Election
2702,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,1510,71,5.0,GRAFTON 19,2018_General Election
2703,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,1510,0,0.0,GRAFTON 19,2018_General Election
10419,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,1510,418,28.0,GRAFTON 19,2018_General Election
10420,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,1510,131,9.0,GRAFTON 19,2018_General Election
2704,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,1510,72,5.0,GRAFTON 19,2018_General Election
2705,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,1510,0,0.0,GRAFTON 19,2018_General Election
5858,33RD SENATE,NANCY ZETTLER,DEMOCRACT,1510,348,23.0,GRAFTON 19,2018_General Election
7650,33RD SENATE,DONALD P. DeWITTE,REPUBLICAN,1510,264,17.0,GRAFTON 19,2018_General Election
2696,33RD SENATE,Under Votes,,1510,9,1.0,GRAFTON 19,2018_General Election
2697,33RD SENATE,Over Votes,,1510,0,0.0,GRAFTON 19,2018_General Election
7651,66TH REPRESENTATIVE,ALLEN SKILLICORN,REPUBLICAN,1510,362,24.0,GRAFTON 19,2018_General Election
2698,66TH REPRESENTATIVE,Under Votes,,1510,66,4.0,GRAFTON 19,2018_General Election
2699,66TH REPRESENTATIVE,Over Votes,,1510,0,0.0,GRAFTON 19,2018_General Election
5854,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,1510,331,22.0,GRAFTON 19,2018_General Election
7646,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,1510,267,18.0,GRAFTON 19,2018_General Election
9140,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,1510,20,1.0,GRAFTON 19,2018_General Election
2688,ATTORNEY GENERAL,Under Votes,,1510,3,0.0,GRAFTON 19,2018_General Election
2689,ATTORNEY GENERAL,Over Votes,,1510,0,0.0,GRAFTON 19,2018_General Election
5856,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,1510,360,24.0,GRAFTON 19,2018_General Election
7648,COMPTROLLER,DARLENE SENGER,REPUBLICAN,1510,230,15.0,GRAFTON 19,2018_General Election
9142,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,1510,24,2.0,GRAFTON 19,2018_General Election
2692,COMPTROLLER,Under Votes,,1510,7,0.0,GRAFTON 19,2018_General Election
2693,COMPTROLLER,Over Votes,,1510,0,0.0,GRAFTON 19,2018_General Election
5853,GOVERNOR AND LIEUTENANT GOVERNOR,JB PRITZKER,DEMOCRACT,1510,309,20.0,GRAFTON 19,2018_General Election
7645,GOVERNOR AND LIEUTENANT GOVERNOR,BRUCE RAUNER,REPUBLICAN,1510,253,17.0,GRAFTON 19,2018_General Election
9139,GOVERNOR AND LIEUTENANT GOVERNOR,GRAYSON KASH JACKSON,LIBERTARIAN,1510,28,2.0,GRAFTON 19,2018_General Election
9747,GOVERNOR AND LIEUTENANT GOVERNOR,"WILLIAM ""SAM"" McCANN",CONSERVATIVE,1510,20,1.0,GRAFTON 19,2018_General Election
2686,GOVERNOR AND LIEUTENANT GOVERNOR,Under Votes,,1510,7,0.0,GRAFTON 19,2018_General Election
10416,GOVERNOR AND LIEUTENANT GOVERNOR,Write-in,NONPARTISAN,1510,4,0.0,GRAFTON 19,2018_General Election
2687,GOVERNOR AND LIEUTENANT GOVERNOR,Over Votes,,1510,0,0.0,GRAFTON 19,2018_General Election
