ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
ATTORNEY GENERAL,LISA MADIGAN,Democrat,1048,213,20.0,GRAFTON 22,2014_General Election
ATTORNEY GENERAL,PAUL M. SCHIMPF,Republican,1048,195,19.0,GRAFTON 22,2014_General Election
ATTORNEY GENERAL,BEN KOYL,Libertarian,1048,13,1.0,GRAFTON 22,2014_General Election
ATTORNEY GENERAL,Blank Ballots,,1048,4,0.0,GRAFTON 22,2014_General Election
ATTORNEY GENERAL,Under Votes,,1048,0,0.0,GRAFTON 22,2014_General Election
ATTORNEY GENERAL,Over Votes,,1048,0,0.0,GRAFTON 22,2014_General Election
COMPTROLLER,JUDY BAAR TOPINKA,Republican,1048,217,21.0,GRAFTON 22,2014_General Election
COMPTROLLER,SHEILA SIMON,Democrat,1048,149,14.0,GRAFTON 22,2014_General Election
COMPTROLLER,JULIE FOX,Libertarian,1048,51,5.0,GRAFTON 22,2014_General Election
COMPTROLLER,Blank Ballots,,1048,8,1.0,GRAFTON 22,2014_General Election
COMPTROLLER,Write-in,NonPartisan,1048,0,0.0,GRAFTON 22,2014_General Election
COMPTROLLER,TIMOTHY GOODCASE,NonPartisan,1048,0,0.0,GRAFTON 22,2014_General Election
COMPTROLLER,Under Votes,,1048,0,0.0,GRAFTON 22,2014_General Election
COMPTROLLER,Over Votes,,1048,0,0.0,GRAFTON 22,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,YES,NonPartisan,1048,333,32.0,GRAFTON 22,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,NO,NonPartisan,1048,79,8.0,GRAFTON 22,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Blank Ballots,,1048,13,1.0,GRAFTON 22,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Under Votes,,1048,0,0.0,GRAFTON 22,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Over Votes,,1048,0,0.0,GRAFTON 22,2014_General Election
D14 REPRESENTATIVE,RANDALL M. HULTGREN,Republican,1048,254,24.0,GRAFTON 22,2014_General Election
D14 REPRESENTATIVE,DENNIS ANDERSON,Democrat,1048,154,15.0,GRAFTON 22,2014_General Election
D14 REPRESENTATIVE,Blank Ballots,,1048,17,2.0,GRAFTON 22,2014_General Election
D14 REPRESENTATIVE,Under Votes,,1048,0,0.0,GRAFTON 22,2014_General Election
D14 REPRESENTATIVE,Over Votes,,1048,0,0.0,GRAFTON 22,2014_General Election
D2 JUD BOWMAN,MICHAEL J. BURKE,Republican,1048,328,31.0,GRAFTON 22,2014_General Election
D2 JUD BOWMAN,Blank Ballots,,1048,97,9.0,GRAFTON 22,2014_General Election
D2 JUD BOWMAN,Under Votes,,1048,0,0.0,GRAFTON 22,2014_General Election
D2 JUD BOWMAN,Over Votes,,1048,0,0.0,GRAFTON 22,2014_General Election
D33 STATE SENATE,K McCONNAUGHAY,Republican,1048,330,31.0,GRAFTON 22,2014_General Election
D33 STATE SENATE,Blank Ballots,,1048,95,9.0,GRAFTON 22,2014_General Election
