,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
5968,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,1061,195,18.0,GREENWOOD 4,2018_General Election
7798,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,1061,91,9.0,GREENWOOD 4,2018_General Election
3072,14TH CONGRESS,Under Votes,,1061,4,0.0,GREENWOOD 4,2018_General Election
3073,14TH CONGRESS,Over Votes,,1061,0,0.0,GREENWOOD 4,2018_General Election
7807,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,TIFFANY DAVIS,REPUBLICAN,1061,169,16.0,GREENWOOD 4,2018_General Election
3090,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Under Votes,,1061,54,5.0,GREENWOOD 4,2018_General Election
3091,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Over Votes,,1061,0,0.0,GREENWOOD 4,2018_General Election
7806,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,1061,169,16.0,GREENWOOD 4,2018_General Election
3088,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,1061,52,5.0,GREENWOOD 4,2018_General Election
3089,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,1061,0,0.0,GREENWOOD 4,2018_General Election
10497,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,1061,205,19.0,GREENWOOD 4,2018_General Election
10498,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,1061,65,6.0,GREENWOOD 4,2018_General Election
3092,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,1061,20,2.0,GREENWOOD 4,2018_General Election
3093,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,1061,0,0.0,GREENWOOD 4,2018_General Election
10499,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,1061,208,20.0,GREENWOOD 4,2018_General Election
10500,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,1061,52,5.0,GREENWOOD 4,2018_General Election
3094,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,1061,30,3.0,GREENWOOD 4,2018_General Election
3095,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,1061,0,0.0,GREENWOOD 4,2018_General Election
5974,32ND SENATE,MARY MAHADY,DEMOCRACT,1061,173,16.0,GREENWOOD 4,2018_General Election
7804,32ND SENATE,CRAIG WILCOX,REPUBLICAN,1061,110,10.0,GREENWOOD 4,2018_General Election
3084,32ND SENATE,Under Votes,,1061,7,1.0,GREENWOOD 4,2018_General Election
3085,32ND SENATE,Over Votes,,1061,0,0.0,GREENWOOD 4,2018_General Election
7805,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,1061,165,16.0,GREENWOOD 4,2018_General Election
3086,63RD REPRESENTATIVE,Under Votes,,1061,51,5.0,GREENWOOD 4,2018_General Election
3087,63RD REPRESENTATIVE,Over Votes,,1061,0,0.0,GREENWOOD 4,2018_General Election
5970,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,1061,168,16.0,GREENWOOD 4,2018_General Election
7800,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,1061,107,10.0,GREENWOOD 4,2018_General Election
9220,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,1061,12,1.0,GREENWOOD 4,2018_General Election
3076,ATTORNEY GENERAL,Under Votes,,1061,3,0.0,GREENWOOD 4,2018_General Election
3077,ATTORNEY GENERAL,Over Votes,,1061,0,0.0,GREENWOOD 4,2018_General Election
5972,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,1061,189,18.0,GREENWOOD 4,2018_General Election
