ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGREENWOODSS,"RANDALL M. ""RANDY"" HULTGREENWOODN",Republican,1162,536,46.0,GREENWOOD 7,2016_General Election
14TH CONGREENWOODSS,JIM WALZ,Democrat,1162,300,26.0,GREENWOOD 7,2016_General Election
14TH CONGREENWOODSS,Blank Ballots,,1162,24,2.0,GREENWOOD 7,2016_General Election
14TH CONGREENWOODSS,Under Votes,,1162,0,0.0,GREENWOOD 7,2016_General Election
14TH CONGREENWOODSS,Over Votes,,1162,0,0.0,GREENWOOD 7,2016_General Election
22ND CIRCUIT- GRAFTONHAM VACANCY,JAMES S. COWLIN,Republican,1162,679,58.0,GREENWOOD 7,2016_General Election
22ND CIRCUIT- GRAFTONHAM VACANCY,Blank Ballots,,1162,180,15.0,GREENWOOD 7,2016_General Election
22ND CIRCUIT- GRAFTONHAM VACANCY,Under Votes,,1162,0,0.0,GREENWOOD 7,2016_General Election
22ND CIRCUIT- GRAFTONHAM VACANCY,Over Votes,,1162,0,0.0,GREENWOOD 7,2016_General Election
32ND SENECAATE,PAMELA ALTHOFF,Republican,1162,598,51.0,GREENWOOD 7,2016_General Election
32ND SENECAATE,MELISSA COYNE,Democrat,1162,240,21.0,GREENWOOD 7,2016_General Election
32ND SENECAATE,Blank Ballots,,1162,21,2.0,GREENWOOD 7,2016_General Election
32ND SENECAATE,Under Votes,,1162,0,0.0,GREENWOOD 7,2016_General Election
32ND SENECAATE,Over Votes,,1162,0,0.0,GREENWOOD 7,2016_General Election
63RD REPRESENECATATIVE,STEVEN REICK,Republican,1162,519,45.0,GREENWOOD 7,2016_General Election
63RD REPRESENECATATIVE,JOHN M. BARTMAN,Democrat,1162,320,28.0,GREENWOOD 7,2016_General Election
63RD REPRESENECATATIVE,Blank Ballots,,1162,20,2.0,GREENWOOD 7,2016_General Election
63RD REPRESENECATATIVE,Under Votes,,1162,0,0.0,GREENWOOD 7,2016_General Election
63RD REPRESENECATATIVE,Over Votes,,1162,0,0.0,GREENWOOD 7,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,1162,521,45.0,GREENWOOD 7,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,1162,261,22.0,GREENWOOD 7,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,1162,33,3.0,GREENWOOD 7,2016_General Election
COMPTROLLER,Blank Ballots,,1162,23,2.0,GREENWOOD 7,2016_General Election
COMPTROLLER,TIM CURTIN,Green,1162,21,2.0,GREENWOOD 7,2016_General Election
COMPTROLLER,Under Votes,,1162,0,0.0,GREENWOOD 7,2016_General Election
COMPTROLLER,Over Votes,,1162,0,0.0,GREENWOOD 7,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,1162,625,54.0,GREENWOOD 7,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,1162,183,16.0,GREENWOOD 7,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,1162,51,4.0,GREENWOOD 7,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Under Votes,,1162,0,0.0,GREENWOOD 7,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Over Votes,,1162,0,0.0,GREENWOOD 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,1162,443,38.0,GREENWOOD 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,HILLARY RODHAM CLINTON,Democrat,1162,348,30.0,GREENWOOD 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,1162,34,3.0,GREENWOOD 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Blank Ballots,,1162,23,2.0,GREENWOOD 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,1162,10,1.0,GREENWOOD 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Evan McMullin WRI,NonPartisan,1162,2,0.0,GREENWOOD 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Under Votes,,1162,0,0.0,GREENWOOD 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Over Votes,,1162,0,0.0,GREENWOOD 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Write-in,NonPartisan,1162,0,0.0,GREENWOOD 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Laio Morris WRI,NonPartisan,1162,0,0.0,GREENWOOD 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,David G . Stack WRI,NonPartisan,1162,0,0.0,GREENWOOD 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Tom Hoefling WRI,NonPartisan,1162,0,0.0,GREENWOOD 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Jonathan Lee WRI,NonPartisan,1162,0,0.0,GREENWOOD 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Dem J. Wysinger WRI,NonPartisan,1162,0,0.0,GREENWOOD 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Schoenke/Mitch..WRI,NonPartisan,1162,0,0.0,GREENWOOD 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Castle/Bradley WRI,NonPartisan,1162,0,0.0,GREENWOOD 7,2016_General Election
PRESIDENT AND VICE PRESIDENT,Kotlikoff/Leam..WRI,NonPartisan,1162,0,0.0,GREENWOOD 7,2016_General Election
UNITED STATES SENECAATOR,MARK STEVEN KIRK,Republican,1162,483,42.0,GREENWOOD 7,2016_General Election
