ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
ATTORNEY GENERAL,PAUL M. SCHIMPF,Republican,934,253,27.0,HARTLAND 1,2014_General Election
ATTORNEY GENERAL,LISA MADIGAN,Democrat,934,211,23.0,HARTLAND 1,2014_General Election
ATTORNEY GENERAL,BEN KOYL,Libertarian,934,9,1.0,HARTLAND 1,2014_General Election
ATTORNEY GENERAL,Blank Ballots,,934,5,1.0,HARTLAND 1,2014_General Election
ATTORNEY GENERAL,Under Votes,,934,0,0.0,HARTLAND 1,2014_General Election
ATTORNEY GENERAL,Over Votes,,934,0,0.0,HARTLAND 1,2014_General Election
COMPTROLLER,JUDY BAAR TOPINKA,Republican,934,280,30.0,HARTLAND 1,2014_General Election
COMPTROLLER,SHEILA SIMON,Democrat,934,157,17.0,HARTLAND 1,2014_General Election
COMPTROLLER,JULIE FOX,Libertarian,934,31,3.0,HARTLAND 1,2014_General Election
COMPTROLLER,Blank Ballots,,934,10,1.0,HARTLAND 1,2014_General Election
COMPTROLLER,Write-in,NonPartisan,934,0,0.0,HARTLAND 1,2014_General Election
COMPTROLLER,TIMOTHY GOODCASE,NonPartisan,934,0,0.0,HARTLAND 1,2014_General Election
COMPTROLLER,Under Votes,,934,0,0.0,HARTLAND 1,2014_General Election
COMPTROLLER,Over Votes,,934,0,0.0,HARTLAND 1,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,YES,NonPartisan,934,323,35.0,HARTLAND 1,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,NO,NonPartisan,934,146,16.0,HARTLAND 1,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Blank Ballots,,934,9,1.0,HARTLAND 1,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Under Votes,,934,0,0.0,HARTLAND 1,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Over Votes,,934,0,0.0,HARTLAND 1,2014_General Election
D14 REPRESENTATIVE,RANDALL M. HULTGREN,Republican,934,302,32.0,HARTLAND 1,2014_General Election
D14 REPRESENTATIVE,DENNIS ANDERSON,Democrat,934,163,17.0,HARTLAND 1,2014_General Election
D14 REPRESENTATIVE,Blank Ballots,,934,13,1.0,HARTLAND 1,2014_General Election
D14 REPRESENTATIVE,Under Votes,,934,0,0.0,HARTLAND 1,2014_General Election
D14 REPRESENTATIVE,Over Votes,,934,0,0.0,HARTLAND 1,2014_General Election
D2 JUD BOWMAN,MICHAEL J. BURKE,Republican,934,376,40.0,HARTLAND 1,2014_General Election
D2 JUD BOWMAN,Blank Ballots,,934,102,11.0,HARTLAND 1,2014_General Election
D2 JUD BOWMAN,Under Votes,,934,0,0.0,HARTLAND 1,2014_General Election
D2 JUD BOWMAN,Over Votes,,934,0,0.0,HARTLAND 1,2014_General Election
D63 REP ASSEMBLY,JACK D. FRANKS,Democrat,934,248,27.0,HARTLAND 1,2014_General Election
D63 REP ASSEMBLY,STEVEN REICK,Republican,934,224,24.0,HARTLAND 1,2014_General Election
D63 REP ASSEMBLY,Blank Ballots,,934,6,1.0,HARTLAND 1,2014_General Election
D63 REP ASSEMBLY,Under Votes,,934,0,0.0,HARTLAND 1,2014_General Election
D63 REP ASSEMBLY,Over Votes,,934,0,0.0,HARTLAND 1,2014_General Election
GOVERNOR/LT GOV,BRUCE RAUNER,Republican,934,321,34.0,HARTLAND 1,2014_General Election
GOVERNOR/LT GOV,PAT QUINN,Democrat,934,141,15.0,HARTLAND 1,2014_General Election
GOVERNOR/LT GOV,CHAD GRIMM,Libertarian,934,14,1.0,HARTLAND 1,2014_General Election
GOVERNOR/LT GOV,Blank Ballots,,934,2,0.0,HARTLAND 1,2014_General Election
GOVERNOR/LT GOV,Write-in,NonPartisan,934,0,0.0,HARTLAND 1,2014_General Election
GOVERNOR/LT GOV,MARK SMITH,NonPartisan,934,0,0.0,HARTLAND 1,2014_General Election
GOVERNOR/LT GOV,ROBERT PEREZ JR,NonPartisan,934,0,0.0,HARTLAND 1,2014_General Election
GOVERNOR/LT GOV,MICHAEL W. SCRUGGS,NonPartisan,934,0,0.0,HARTLAND 1,2014_General Election
GOVERNOR/LT GOV,RYAN SWEENEY,NonPartisan,934,0,0.0,HARTLAND 1,2014_General Election
GOVERNOR/LT GOV,SCOTT SUMMERS,NonPartisan,934,0,0.0,HARTLAND 1,2014_General Election
GOVERNOR/LT GOV,AARON MERREIGHN (LG),NonPartisan,934,0,0.0,HARTLAND 1,2014_General Election
GOVERNOR/LT GOV,Under Votes,,934,0,0.0,HARTLAND 1,2014_General Election
GOVERNOR/LT GOV,Over Votes,,934,0,0.0,HARTLAND 1,2014_General Election
HEALTH INSURANCE,YES,NonPartisan,934,241,26.0,HARTLAND 1,2014_General Election
HEALTH INSURANCE,NO,NonPartisan,934,234,25.0,HARTLAND 1,2014_General Election
HEALTH INSURANCE,Blank Ballots,,934,3,0.0,HARTLAND 1,2014_General Election
HEALTH INSURANCE,Under Votes,,934,0,0.0,HARTLAND 1,2014_General Election
HEALTH INSURANCE,Over Votes,,934,0,0.0,HARTLAND 1,2014_General Election
MILLIONAIRE TAX,NO,,934,265,28.0,HARTLAND 1,2014_General Election
MILLIONAIRE TAX,YES,NonPartisan,934,200,21.0,HARTLAND 1,2014_General Election
MILLIONAIRE TAX,Blank Ballots,,934,13,1.0,HARTLAND 1,2014_General Election
MILLIONAIRE TAX,Under Votes,,934,0,0.0,HARTLAND 1,2014_General Election
MILLIONAIRE TAX,Over Votes,,934,0,0.0,HARTLAND 1,2014_General Election
MINIMUM WAGE,YES,NonPartisan,934,238,25.0,HARTLAND 1,2014_General Election
MINIMUM WAGE,NO,NonPartisan,934,233,25.0,HARTLAND 1,2014_General Election
MINIMUM WAGE,Blank Ballots,,934,7,1.0,HARTLAND 1,2014_General Election
MINIMUM WAGE,Under Votes,,934,0,0.0,HARTLAND 1,2014_General Election
MINIMUM WAGE,Over Votes,,934,0,0.0,HARTLAND 1,2014_General Election
RET D2 APP HUTCHINSON,YES,NonPartisan,934,329,35.0,HARTLAND 1,2014_General Election
RET D2 APP HUTCHINSON,NO,NonPartisan,934,88,9.0,HARTLAND 1,2014_General Election
RET D2 APP HUTCHINSON,Blank Ballots,,934,61,7.0,HARTLAND 1,2014_General Election
RET D2 APP HUTCHINSON,Under Votes,,934,0,0.0,HARTLAND 1,2014_General Election
RET D2 APP HUTCHINSON,Over Votes,,934,0,0.0,HARTLAND 1,2014_General Election
RET D22 CIR CALDWELL,YES,NonPartisan,934,327,35.0,HARTLAND 1,2014_General Election
RET D22 CIR CALDWELL,NO,NonPartisan,934,97,10.0,HARTLAND 1,2014_General Election
RET D22 CIR CALDWELL,Blank Ballots,,934,54,6.0,HARTLAND 1,2014_General Election
RET D22 CIR CALDWELL,Under Votes,,934,0,0.0,HARTLAND 1,2014_General Election
RET D22 CIR CALDWELL,Over Votes,,934,0,0.0,HARTLAND 1,2014_General Election
RET D22 CIR PRATHER,YES,NonPartisan,934,338,36.0,HARTLAND 1,2014_General Election
RET D22 CIR PRATHER,NO,NonPartisan,934,82,9.0,HARTLAND 1,2014_General Election
RET D22 CIR PRATHER,Blank Ballots,,934,58,6.0,HARTLAND 1,2014_General Election
RET D22 CIR PRATHER,Under Votes,,934,0,0.0,HARTLAND 1,2014_General Election
RET D22 CIR PRATHER,Over Votes,,934,0,0.0,HARTLAND 1,2014_General Election
RET D22 CIR SULLIVAN,YES,NonPartisan,934,337,36.0,HARTLAND 1,2014_General Election
RET D22 CIR SULLIVAN,NO,NonPartisan,934,83,9.0,HARTLAND 1,2014_General Election
RET D22 CIR SULLIVAN,Blank Ballots,,934,58,6.0,HARTLAND 1,2014_General Election
RET D22 CIR SULLIVAN,Under Votes,,934,0,0.0,HARTLAND 1,2014_General Election
RET D22 CIR SULLIVAN,Over Votes,,934,0,0.0,HARTLAND 1,2014_General Election
SECRETARY OF STATE,JESSE WHITE,Democrat,934,246,26.0,HARTLAND 1,2014_General Election
SECRETARY OF STATE,MICHAEL WEBSTER,Republican,934,209,22.0,HARTLAND 1,2014_General Election
SECRETARY OF STATE,CHRISTOPHER MICHEL,Libertarian,934,18,2.0,HARTLAND 1,2014_General Election
SECRETARY OF STATE,Blank Ballots,,934,5,1.0,HARTLAND 1,2014_General Election
SECRETARY OF STATE,Write-in,NonPartisan,934,0,0.0,HARTLAND 1,2014_General Election
SECRETARY OF STATE,SHELDON SCHAFER,NonPartisan,934,0,0.0,HARTLAND 1,2014_General Election
SECRETARY OF STATE,Under Votes,,934,0,0.0,HARTLAND 1,2014_General Election
SECRETARY OF STATE,Over Votes,,934,0,0.0,HARTLAND 1,2014_General Election
SUFFRAGE & ELECTIONS,YES,NonPartisan,934,262,28.0,HARTLAND 1,2014_General Election
SUFFRAGE & ELECTIONS,NO,NonPartisan,934,201,22.0,HARTLAND 1,2014_General Election
SUFFRAGE & ELECTIONS,Blank Ballots,,934,15,2.0,HARTLAND 1,2014_General Election
SUFFRAGE & ELECTIONS,Under Votes,,934,0,0.0,HARTLAND 1,2014_General Election
SUFFRAGE & ELECTIONS,Over Votes,,934,0,0.0,HARTLAND 1,2014_General Election
TREASURER,TOM CROSS,Republican,934,291,31.0,HARTLAND 1,2014_General Election
TREASURER,MICHAEL W. FRERICHS,Democrat,934,150,16.0,HARTLAND 1,2014_General Election
TREASURER,MATTHEW SKOPEK,Libertarian,934,22,2.0,HARTLAND 1,2014_General Election
TREASURER,Blank Ballots,,934,15,2.0,HARTLAND 1,2014_General Election
TREASURER,Under Votes,,934,0,0.0,HARTLAND 1,2014_General Election
TREASURER,Over Votes,,934,0,0.0,HARTLAND 1,2014_General Election
US SENATE,JAMES D. OBERWEIS,Republican,934,288,31.0,HARTLAND 1,2014_General Election
US SENATE,RICHARD J. DURBIN,Democrat,934,162,17.0,HARTLAND 1,2014_General Election
US SENATE,SHARON HANSEN,Libertarian,934,23,2.0,HARTLAND 1,2014_General Election
US SENATE,Blank Ballots,,934,5,1.0,HARTLAND 1,2014_General Election
US SENATE,Write-in,NonPartisan,934,0,0.0,HARTLAND 1,2014_General Election
US SENATE,ROGER K. DAVIS,NonPartisan,934,0,0.0,HARTLAND 1,2014_General Election
US SENATE,Under Votes,,934,0,0.0,HARTLAND 1,2014_General Election
US SENATE,Over Votes,,934,0,0.0,HARTLAND 1,2014_General Election
