ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGREENWOODSS,"RANDALL M. ""RANDY"" HULTGREENWOODN",Republican,643,309,48.0,HARTLAND 2,2016_General Election
14TH CONGREENWOODSS,JIM WALZ,Democrat,643,129,20.0,HARTLAND 2,2016_General Election
14TH CONGREENWOODSS,Blank Ballots,,643,13,2.0,HARTLAND 2,2016_General Election
14TH CONGREENWOODSS,Under Votes,,643,0,0.0,HARTLAND 2,2016_General Election
14TH CONGREENWOODSS,Over Votes,,643,0,0.0,HARTLAND 2,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,643,376,58.0,HARTLAND 2,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,643,75,12.0,HARTLAND 2,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,643,0,0.0,HARTLAND 2,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,643,0,0.0,HARTLAND 2,2016_General Election
32ND SENECAATE,PAMELA ALTHOFF,Republican,643,326,51.0,HARTLAND 2,2016_General Election
32ND SENECAATE,MELISSA COYNE,Democrat,643,110,17.0,HARTLAND 2,2016_General Election
32ND SENECAATE,Blank Ballots,,643,15,2.0,HARTLAND 2,2016_General Election
32ND SENECAATE,Under Votes,,643,0,0.0,HARTLAND 2,2016_General Election
32ND SENECAATE,Over Votes,,643,0,0.0,HARTLAND 2,2016_General Election
63RD REPRESENECATATIVE,STEVEN REICK,Republican,643,295,46.0,HARTLAND 2,2016_General Election
63RD REPRESENECATATIVE,JOHN M. BARTMAN,Democrat,643,144,22.0,HARTLAND 2,2016_General Election
63RD REPRESENECATATIVE,Blank Ballots,,643,12,2.0,HARTLAND 2,2016_General Election
63RD REPRESENECATATIVE,Under Votes,,643,0,0.0,HARTLAND 2,2016_General Election
63RD REPRESENECATATIVE,Over Votes,,643,0,0.0,HARTLAND 2,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,643,308,48.0,HARTLAND 2,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,643,103,16.0,HARTLAND 2,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,643,19,3.0,HARTLAND 2,2016_General Election
COMPTROLLER,TIM CURTIN,Green,643,12,2.0,HARTLAND 2,2016_General Election
COMPTROLLER,Blank Ballots,,643,9,1.0,HARTLAND 2,2016_General Election
COMPTROLLER,Under Votes,,643,0,0.0,HARTLAND 2,2016_General Election
COMPTROLLER,Over Votes,,643,0,0.0,HARTLAND 2,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,643,320,50.0,HARTLAND 2,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,643,111,17.0,HARTLAND 2,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,643,20,3.0,HARTLAND 2,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Under Votes,,643,0,0.0,HARTLAND 2,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Over Votes,,643,0,0.0,HARTLAND 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,643,279,43.0,HARTLAND 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,HILLARY RODHAM CLINTON,Democrat,643,143,22.0,HARTLAND 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,643,14,2.0,HARTLAND 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Blank Ballots,,643,6,1.0,HARTLAND 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,643,6,1.0,HARTLAND 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Evan McMullin WRI,NonPartisan,643,3,0.0,HARTLAND 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Under Votes,,643,0,0.0,HARTLAND 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Over Votes,,643,0,0.0,HARTLAND 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Write-in,NonPartisan,643,0,0.0,HARTLAND 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Laio Morris WRI,NonPartisan,643,0,0.0,HARTLAND 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,David G . Stack WRI,NonPartisan,643,0,0.0,HARTLAND 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Tom Hoefling WRI,NonPartisan,643,0,0.0,HARTLAND 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Jonathan Lee WRI,NonPartisan,643,0,0.0,HARTLAND 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Dem J. Wysinger WRI,NonPartisan,643,0,0.0,HARTLAND 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Schoenke/Mitch..WRI,NonPartisan,643,0,0.0,HARTLAND 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Castle/Bradley WRI,NonPartisan,643,0,0.0,HARTLAND 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Kotlikoff/Leam..WRI,NonPartisan,643,0,0.0,HARTLAND 2,2016_General Election
UNITED STATES SENECAATOR,MARK STEVEN KIRK,Republican,643,274,43.0,HARTLAND 2,2016_General Election
UNITED STATES SENECAATOR,TAMMY DUCKWORTH,Democrat,643,136,21.0,HARTLAND 2,2016_General Election
UNITED STATES SENECAATOR,KENTON McMILLEN,Libertarian,643,19,3.0,HARTLAND 2,2016_General Election
UNITED STATES SENECAATOR,SCOTT SUMMERS,Green,643,12,2.0,HARTLAND 2,2016_General Election
UNITED STATES SENECAATOR,Blank Ballots,,643,10,2.0,HARTLAND 2,2016_General Election
UNITED STATES SENECAATOR,Under Votes,,643,0,0.0,HARTLAND 2,2016_General Election
UNITED STATES SENECAATOR,Over Votes,,643,0,0.0,HARTLAND 2,2016_General Election
UNITED STATES SENECAATOR,Write-in,NonPartisan,643,0,0.0,HARTLAND 2,2016_General Election
UNITED STATES SENECAATOR,Jim Brown WRI,NonPartisan,643,0,0.0,HARTLAND 2,2016_General Election
UNITED STATES SENECAATOR,Susana Sandoval WRI,NonPartisan,643,0,0.0,HARTLAND 2,2016_General Election
UNITED STATES SENECAATOR,Chad Koppie WRI,NonPartisan,643,0,0.0,HARTLAND 2,2016_General Election
UNITED STATES SENECAATOR,Eric K J Stewert WRI,NonPartisan,643,0,0.0,HARTLAND 2,2016_General Election
UNITED STATES SENECAATOR,Chris M Aguayo WRI,NonPartisan,643,0,0.0,HARTLAND 2,2016_General Election
