,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
7848,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,673,210,31.0,HARTLAND 2,2018_General Election
6003,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,673,163,24.0,HARTLAND 2,2018_General Election
3197,14TH CONGRESS,Under Votes,,673,3,0.0,HARTLAND 2,2018_General Election
3198,14TH CONGRESS,Over Votes,,673,0,0.0,HARTLAND 2,2018_General Election
7857,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,TIFFANY DAVIS,REPUBLICAN,673,271,40.0,HARTLAND 2,2018_General Election
3215,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Under Votes,,673,62,9.0,HARTLAND 2,2018_General Election
3216,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Over Votes,,673,0,0.0,HARTLAND 2,2018_General Election
7856,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,673,275,41.0,HARTLAND 2,2018_General Election
3213,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,673,60,9.0,HARTLAND 2,2018_General Election
3214,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,673,0,0.0,HARTLAND 2,2018_General Election
10522,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,673,271,40.0,HARTLAND 2,2018_General Election
10523,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,673,64,10.0,HARTLAND 2,2018_General Election
3217,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,673,41,6.0,HARTLAND 2,2018_General Election
3218,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,673,0,0.0,HARTLAND 2,2018_General Election
10524,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,673,281,42.0,HARTLAND 2,2018_General Election
10525,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,673,55,8.0,HARTLAND 2,2018_General Election
3219,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,673,40,6.0,HARTLAND 2,2018_General Election
3220,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,673,0,0.0,HARTLAND 2,2018_General Election
7854,32ND SENATE,CRAIG WILCOX,REPUBLICAN,673,233,35.0,HARTLAND 2,2018_General Election
6009,32ND SENATE,MARY MAHADY,DEMOCRACT,673,138,21.0,HARTLAND 2,2018_General Election
3209,32ND SENATE,Under Votes,,673,5,1.0,HARTLAND 2,2018_General Election
3210,32ND SENATE,Over Votes,,673,0,0.0,HARTLAND 2,2018_General Election
7855,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,673,275,41.0,HARTLAND 2,2018_General Election
3211,63RD REPRESENTATIVE,Under Votes,,673,52,8.0,HARTLAND 2,2018_General Election
3212,63RD REPRESENTATIVE,Over Votes,,673,0,0.0,HARTLAND 2,2018_General Election
7850,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,673,232,34.0,HARTLAND 2,2018_General Election
6005,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,673,131,19.0,HARTLAND 2,2018_General Election
9245,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,673,9,1.0,HARTLAND 2,2018_General Election
3201,ATTORNEY GENERAL,Under Votes,,673,4,1.0,HARTLAND 2,2018_General Election
3202,ATTORNEY GENERAL,Over Votes,,673,0,0.0,HARTLAND 2,2018_General Election
7852,COMPTROLLER,DARLENE SENGER,REPUBLICAN,673,213,32.0,HARTLAND 2,2018_General Election
6007,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,673,145,22.0,HARTLAND 2,2018_General Election
9247,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,673,13,2.0,HARTLAND 2,2018_General Election
3205,COMPTROLLER,Under Votes,,673,5,1.0,HARTLAND 2,2018_General Election
3206,COMPTROLLER,Over Votes,,673,0,0.0,HARTLAND 2,2018_General Election
7849,GOVERNOR AND LIEUTENANT GOVERNOR,BRUCE RAUNER,REPUBLICAN,673,239,36.0,HARTLAND 2,2018_General Election
6004,GOVERNOR AND LIEUTENANT GOVERNOR,JB PRITZKER,DEMOCRACT,673,124,18.0,HARTLAND 2,2018_General Election
9768,GOVERNOR AND LIEUTENANT GOVERNOR,"WILLIAM ""SAM"" McCANN",CONSERVATIVE,673,7,1.0,HARTLAND 2,2018_General Election
9244,GOVERNOR AND LIEUTENANT GOVERNOR,GRAYSON KASH JACKSON,LIBERTARIAN,673,5,1.0,HARTLAND 2,2018_General Election
3199,GOVERNOR AND LIEUTENANT GOVERNOR,Under Votes,,673,1,0.0,HARTLAND 2,2018_General Election
3200,GOVERNOR AND LIEUTENANT GOVERNOR,Over Votes,,673,0,0.0,HARTLAND 2,2018_General Election
10521,GOVERNOR AND LIEUTENANT GOVERNOR,Write-in,NONPARTISAN,673,0,0.0,HARTLAND 2,2018_General Election
6006,SECRETARY OF STATE,JESSE WHITE,DEMOCRACT,673,207,31.0,HARTLAND 2,2018_General Election
7851,SECRETARY OF STATE,JASON HELLAND,REPUBLICAN,673,160,24.0,HARTLAND 2,2018_General Election
9246,SECRETARY OF STATE,STEVE DUTNER,LIBERTARIAN,673,7,1.0,HARTLAND 2,2018_General Election
3203,SECRETARY OF STATE,Under Votes,,673,2,0.0,HARTLAND 2,2018_General Election
3204,SECRETARY OF STATE,Over Votes,,673,0,0.0,HARTLAND 2,2018_General Election
7853,TREASURER,JIM DODGE,REPUBLICAN,673,219,33.0,HARTLAND 2,2018_General Election
6008,TREASURER,MICHAEL W. FRERICHS,DEMOCRACT,673,134,20.0,HARTLAND 2,2018_General Election
9248,TREASURER,MICHAEL LEHENEY,LIBERTARIAN,673,15,2.0,HARTLAND 2,2018_General Election
3207,TREASURER,Under Votes,,673,8,1.0,HARTLAND 2,2018_General Election
3208,TREASURER,Over Votes,,673,0,0.0,HARTLAND 2,2018_General Election
