ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGREENWOODSS,"RANDALL M. ""RANDY"" HULTGREENWOODN",Republican,758,324,43.0,HEBRON 2,2016_General Election
14TH CONGREENWOODSS,JIM WALZ,Democrat,758,159,21.0,HEBRON 2,2016_General Election
14TH CONGREENWOODSS,Blank Ballots,,758,23,3.0,HEBRON 2,2016_General Election
14TH CONGREENWOODSS,Under Votes,,758,0,0.0,HEBRON 2,2016_General Election
14TH CONGREENWOODSS,Over Votes,,758,0,0.0,HEBRON 2,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,758,389,51.0,HEBRON 2,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,758,117,15.0,HEBRON 2,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,758,0,0.0,HEBRON 2,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,758,0,0.0,HEBRON 2,2016_General Election
32ND SENECAATE,PAMELA ALTHOFF,Republican,758,364,48.0,HEBRON 2,2016_General Election
32ND SENECAATE,MELISSA COYNE,Democrat,758,125,16.0,HEBRON 2,2016_General Election
32ND SENECAATE,Blank Ballots,,758,17,2.0,HEBRON 2,2016_General Election
32ND SENECAATE,Under Votes,,758,0,0.0,HEBRON 2,2016_General Election
32ND SENECAATE,Over Votes,,758,0,0.0,HEBRON 2,2016_General Election
63RD REPRESENECATATIVE,STEVEN REICK,Republican,758,296,39.0,HEBRON 2,2016_General Election
63RD REPRESENECATATIVE,JOHN M. BARTMAN,Democrat,758,191,25.0,HEBRON 2,2016_General Election
63RD REPRESENECATATIVE,Blank Ballots,,758,19,3.0,HEBRON 2,2016_General Election
63RD REPRESENECATATIVE,Under Votes,,758,0,0.0,HEBRON 2,2016_General Election
63RD REPRESENECATATIVE,Over Votes,,758,0,0.0,HEBRON 2,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,758,311,41.0,HEBRON 2,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,758,151,20.0,HEBRON 2,2016_General Election
COMPTROLLER,TIM CURTIN,Green,758,17,2.0,HEBRON 2,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,758,14,2.0,HEBRON 2,2016_General Election
COMPTROLLER,Blank Ballots,,758,13,2.0,HEBRON 2,2016_General Election
COMPTROLLER,Under Votes,,758,0,0.0,HEBRON 2,2016_General Election
COMPTROLLER,Over Votes,,758,0,0.0,HEBRON 2,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,758,373,49.0,HEBRON 2,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,758,91,12.0,HEBRON 2,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,758,42,6.0,HEBRON 2,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Under Votes,,758,0,0.0,HEBRON 2,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Over Votes,,758,0,0.0,HEBRON 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,758,275,36.0,HEBRON 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,HILLARY RODHAM CLINTON,Democrat,758,183,24.0,HEBRON 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,758,21,3.0,HEBRON 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Blank Ballots,,758,13,2.0,HEBRON 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,758,9,1.0,HEBRON 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Evan McMullin WRI,NonPartisan,758,5,1.0,HEBRON 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Under Votes,,758,0,0.0,HEBRON 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Over Votes,,758,0,0.0,HEBRON 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Write-in,NonPartisan,758,0,0.0,HEBRON 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Laio Morris WRI,NonPartisan,758,0,0.0,HEBRON 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,David G . Stack WRI,NonPartisan,758,0,0.0,HEBRON 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Tom Hoefling WRI,NonPartisan,758,0,0.0,HEBRON 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Jonathan Lee WRI,NonPartisan,758,0,0.0,HEBRON 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Dem J. Wysinger WRI,NonPartisan,758,0,0.0,HEBRON 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Schoenke/Mitch..WRI,NonPartisan,758,0,0.0,HEBRON 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Castle/Bradley WRI,NonPartisan,758,0,0.0,HEBRON 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Kotlikoff/Leam..WRI,NonPartisan,758,0,0.0,HEBRON 2,2016_General Election
UNITED STATES SENECAATOR,MARK STEVEN KIRK,Republican,758,267,35.0,HEBRON 2,2016_General Election
UNITED STATES SENECAATOR,TAMMY DUCKWORTH,Democrat,758,178,23.0,HEBRON 2,2016_General Election
UNITED STATES SENECAATOR,KENTON McMILLEN,Libertarian,758,28,4.0,HEBRON 2,2016_General Election
UNITED STATES SENECAATOR,SCOTT SUMMERS,Green,758,19,3.0,HEBRON 2,2016_General Election
UNITED STATES SENECAATOR,Blank Ballots,,758,14,2.0,HEBRON 2,2016_General Election
UNITED STATES SENECAATOR,Under Votes,,758,0,0.0,HEBRON 2,2016_General Election
UNITED STATES SENECAATOR,Over Votes,,758,0,0.0,HEBRON 2,2016_General Election
UNITED STATES SENECAATOR,Write-in,NonPartisan,758,0,0.0,HEBRON 2,2016_General Election
UNITED STATES SENECAATOR,Jim Brown WRI,NonPartisan,758,0,0.0,HEBRON 2,2016_General Election
UNITED STATES SENECAATOR,Susana Sandoval WRI,NonPartisan,758,0,0.0,HEBRON 2,2016_General Election
UNITED STATES SENECAATOR,Chad Koppie WRI,NonPartisan,758,0,0.0,HEBRON 2,2016_General Election
UNITED STATES SENECAATOR,Eric K J Stewert WRI,NonPartisan,758,0,0.0,HEBRON 2,2016_General Election
UNITED STATES SENECAATOR,Chris M Aguayo WRI,NonPartisan,758,0,0.0,HEBRON 2,2016_General Election
