,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
7868,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,820,240,29.0,HEBRON 2,2018_General Election
6017,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,820,169,21.0,HEBRON 2,2018_General Election
3247,14TH CONGRESS,Under Votes,,820,9,1.0,HEBRON 2,2018_General Election
3248,14TH CONGRESS,Over Votes,,820,0,0.0,HEBRON 2,2018_General Election
7877,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,TIFFANY DAVIS,REPUBLICAN,820,304,37.0,HEBRON 2,2018_General Election
3265,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Under Votes,,820,72,9.0,HEBRON 2,2018_General Election
3266,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Over Votes,,820,0,0.0,HEBRON 2,2018_General Election
7876,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,820,311,38.0,HEBRON 2,2018_General Election
3263,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,820,62,8.0,HEBRON 2,2018_General Election
3264,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,820,0,0.0,HEBRON 2,2018_General Election
10532,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,820,266,32.0,HEBRON 2,2018_General Election
10533,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,820,97,12.0,HEBRON 2,2018_General Election
3267,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,820,55,7.0,HEBRON 2,2018_General Election
3268,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,820,0,0.0,HEBRON 2,2018_General Election
10534,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,820,278,34.0,HEBRON 2,2018_General Election
10535,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,820,84,10.0,HEBRON 2,2018_General Election
3269,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,820,56,7.0,HEBRON 2,2018_General Election
3270,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,820,0,0.0,HEBRON 2,2018_General Election
7874,32ND SENATE,CRAIG WILCOX,REPUBLICAN,820,259,32.0,HEBRON 2,2018_General Election
6023,32ND SENATE,MARY MAHADY,DEMOCRACT,820,146,18.0,HEBRON 2,2018_General Election
3259,32ND SENATE,Under Votes,,820,13,2.0,HEBRON 2,2018_General Election
3260,32ND SENATE,Over Votes,,820,0,0.0,HEBRON 2,2018_General Election
7875,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,820,314,38.0,HEBRON 2,2018_General Election
3261,63RD REPRESENTATIVE,Under Votes,,820,55,7.0,HEBRON 2,2018_General Election
3262,63RD REPRESENTATIVE,Over Votes,,820,0,0.0,HEBRON 2,2018_General Election
