,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
7888,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,1152,241,21.0,MARENGO 2,2018_General Election
6031,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,1152,235,20.0,MARENGO 2,2018_General Election
3297,14TH CONGRESS,Under Votes,,1152,3,0.0,MARENGO 2,2018_General Election
3298,14TH CONGRESS,Over Votes,,1152,0,0.0,MARENGO 2,2018_General Election
7897,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,TIFFANY DAVIS,REPUBLICAN,1152,352,31.0,MARENGO 2,2018_General Election
3315,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Under Votes,,1152,65,6.0,MARENGO 2,2018_General Election
3316,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Over Votes,,1152,0,0.0,MARENGO 2,2018_General Election
7896,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,1152,349,30.0,MARENGO 2,2018_General Election
3313,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,1152,63,5.0,MARENGO 2,2018_General Election
3314,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,1152,0,0.0,MARENGO 2,2018_General Election
10542,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,1152,334,29.0,MARENGO 2,2018_General Election
10543,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,1152,94,8.0,MARENGO 2,2018_General Election
3317,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,1152,51,4.0,MARENGO 2,2018_General Election
3318,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,1152,0,0.0,MARENGO 2,2018_General Election
10544,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,1152,346,30.0,MARENGO 2,2018_General Election
10545,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,1152,76,7.0,MARENGO 2,2018_General Election
3319,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,1152,57,5.0,MARENGO 2,2018_General Election
3320,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,1152,0,0.0,MARENGO 2,2018_General Election
7894,32ND SENATE,CRAIG WILCOX,REPUBLICAN,1152,277,24.0,MARENGO 2,2018_General Election
6037,32ND SENATE,MARY MAHADY,DEMOCRACT,1152,198,17.0,MARENGO 2,2018_General Election
3309,32ND SENATE,Under Votes,,1152,4,0.0,MARENGO 2,2018_General Election
3310,32ND SENATE,Over Votes,,1152,0,0.0,MARENGO 2,2018_General Election
7895,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,1152,350,30.0,MARENGO 2,2018_General Election
3311,63RD REPRESENTATIVE,Under Votes,,1152,56,5.0,MARENGO 2,2018_General Election
3312,63RD REPRESENTATIVE,Over Votes,,1152,0,0.0,MARENGO 2,2018_General Election
7890,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,1152,271,24.0,MARENGO 2,2018_General Election
6033,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,1152,186,16.0,MARENGO 2,2018_General Election
9265,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,1152,18,2.0,MARENGO 2,2018_General Election
3301,ATTORNEY GENERAL,Under Votes,,1152,4,0.0,MARENGO 2,2018_General Election
3302,ATTORNEY GENERAL,Over Votes,,1152,0,0.0,MARENGO 2,2018_General Election
7892,COMPTROLLER,DARLENE SENGER,REPUBLICAN,1152,238,21.0,MARENGO 2,2018_General Election
6035,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,1152,210,18.0,MARENGO 2,2018_General Election
9267,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,1152,24,2.0,MARENGO 2,2018_General Election
3305,COMPTROLLER,Under Votes,,1152,7,1.0,MARENGO 2,2018_General Election
3306,COMPTROLLER,Over Votes,,1152,0,0.0,MARENGO 2,2018_General Election
