ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
ATTORNEY GENERAL,PAUL M. SCHIMPF,Republican,1220,306,25.0,MARENGO 3,2014_General Election
ATTORNEY GENERAL,LISA MADIGAN,Democrat,1220,249,20.0,MARENGO 3,2014_General Election
ATTORNEY GENERAL,BEN KOYL,Libertarian,1220,18,1.0,MARENGO 3,2014_General Election
ATTORNEY GENERAL,Blank Ballots,,1220,7,1.0,MARENGO 3,2014_General Election
ATTORNEY GENERAL,Under Votes,,1220,0,0.0,MARENGO 3,2014_General Election
ATTORNEY GENERAL,Over Votes,,1220,0,0.0,MARENGO 3,2014_General Election
COMPTROLLER,JUDY BAAR TOPINKA,Republican,1220,345,28.0,MARENGO 3,2014_General Election
COMPTROLLER,SHEILA SIMON,Democrat,1220,186,15.0,MARENGO 3,2014_General Election
COMPTROLLER,JULIE FOX,Libertarian,1220,41,3.0,MARENGO 3,2014_General Election
COMPTROLLER,Blank Ballots,,1220,8,1.0,MARENGO 3,2014_General Election
COMPTROLLER,Write-in,NonPartisan,1220,0,0.0,MARENGO 3,2014_General Election
COMPTROLLER,TIMOTHY GOODCASE,NonPartisan,1220,0,0.0,MARENGO 3,2014_General Election
COMPTROLLER,Under Votes,,1220,0,0.0,MARENGO 3,2014_General Election
COMPTROLLER,Over Votes,,1220,0,0.0,MARENGO 3,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,YES,NonPartisan,1220,431,35.0,MARENGO 3,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,NO,NonPartisan,1220,130,11.0,MARENGO 3,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Blank Ballots,,1220,19,2.0,MARENGO 3,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Under Votes,,1220,0,0.0,MARENGO 3,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Over Votes,,1220,0,0.0,MARENGO 3,2014_General Election
D14 REPRESENTATIVE,RANDALL M. HULTGREN,Republican,1220,366,30.0,MARENGO 3,2014_General Election
D14 REPRESENTATIVE,DENNIS ANDERSON,Democrat,1220,187,15.0,MARENGO 3,2014_General Election
D14 REPRESENTATIVE,Blank Ballots,,1220,27,2.0,MARENGO 3,2014_General Election
D14 REPRESENTATIVE,Under Votes,,1220,0,0.0,MARENGO 3,2014_General Election
D14 REPRESENTATIVE,Over Votes,,1220,0,0.0,MARENGO 3,2014_General Election
D2 JUD BOWMAN,MICHAEL J. BURKE,Republican,1220,472,39.0,MARENGO 3,2014_General Election
D2 JUD BOWMAN,Blank Ballots,,1220,108,9.0,MARENGO 3,2014_General Election
D2 JUD BOWMAN,Under Votes,,1220,0,0.0,MARENGO 3,2014_General Election
D2 JUD BOWMAN,Over Votes,,1220,0,0.0,MARENGO 3,2014_General Election
D63 REP ASSEMBLY,JACK D. FRANKS,Democrat,1220,352,29.0,MARENGO 3,2014_General Election
D63 REP ASSEMBLY,STEVEN REICK,Republican,1220,219,18.0,MARENGO 3,2014_General Election
D63 REP ASSEMBLY,Blank Ballots,,1220,9,1.0,MARENGO 3,2014_General Election
D63 REP ASSEMBLY,Under Votes,,1220,0,0.0,MARENGO 3,2014_General Election
D63 REP ASSEMBLY,Over Votes,,1220,0,0.0,MARENGO 3,2014_General Election
ESR (BOONE-WINBG),LORI A. FANELLO,Republican,1220,2,0.0,MARENGO 3,2014_General Election
ESR (BOONE-WINBG),Blank Ballots,,1220,1,0.0,MARENGO 3,2014_General Election
ESR (BOONE-WINBG),Under Votes,,1220,0,0.0,MARENGO 3,2014_General Election
ESR (BOONE-WINBG),Over Votes,,1220,0,0.0,MARENGO 3,2014_General Election
GOVERNOR/LT GOV,BRUCE RAUNER,Republican,1220,400,33.0,MARENGO 3,2014_General Election
GOVERNOR/LT GOV,PAT QUINN,Democrat,1220,161,13.0,MARENGO 3,2014_General Election
GOVERNOR/LT GOV,CHAD GRIMM,Libertarian,1220,14,1.0,MARENGO 3,2014_General Election
GOVERNOR/LT GOV,Blank Ballots,,1220,2,0.0,MARENGO 3,2014_General Election
GOVERNOR/LT GOV,Over Votes,,1220,2,0.0,MARENGO 3,2014_General Election
GOVERNOR/LT GOV,Write-in,NonPartisan,1220,1,0.0,MARENGO 3,2014_General Election
GOVERNOR/LT GOV,MARK SMITH,NonPartisan,1220,0,0.0,MARENGO 3,2014_General Election
GOVERNOR/LT GOV,ROBERT PEREZ JR,NonPartisan,1220,0,0.0,MARENGO 3,2014_General Election
GOVERNOR/LT GOV,MICHAEL W. SCRUGGS,NonPartisan,1220,0,0.0,MARENGO 3,2014_General Election
GOVERNOR/LT GOV,RYAN SWEENEY,NonPartisan,1220,0,0.0,MARENGO 3,2014_General Election
GOVERNOR/LT GOV,SCOTT SUMMERS,NonPartisan,1220,0,0.0,MARENGO 3,2014_General Election
GOVERNOR/LT GOV,AARON MERREIGHN (LG),NonPartisan,1220,0,0.0,MARENGO 3,2014_General Election
GOVERNOR/LT GOV,Under Votes,,1220,0,0.0,MARENGO 3,2014_General Election
HEALTH INSURANCE,YES,NonPartisan,1220,315,26.0,MARENGO 3,2014_General Election
HEALTH INSURANCE,NO,NonPartisan,1220,253,21.0,MARENGO 3,2014_General Election
HEALTH INSURANCE,Blank Ballots,,1220,12,1.0,MARENGO 3,2014_General Election
HEALTH INSURANCE,Under Votes,,1220,0,0.0,MARENGO 3,2014_General Election
HEALTH INSURANCE,Over Votes,,1220,0,0.0,MARENGO 3,2014_General Election
MILLIONAIRE TAX,NO,,1220,301,25.0,MARENGO 3,2014_General Election
MILLIONAIRE TAX,YES,NonPartisan,1220,263,22.0,MARENGO 3,2014_General Election
