ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",Republican,1564,588,38.0,MARENGO 3,2016_General Election
14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",Republican,1225,565,46.0,MARENGO 3,2016_General Election
14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",Republican,1186,440,37.0,MARENGO 3,2016_General Election
14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",Republican,1040,376,36.0,MARENGO 3,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,1564,796,51.0,MARENGO 3,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,1225,684,56.0,MARENGO 3,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,1186,570,48.0,MARENGO 3,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,1040,521,50.0,MARENGO 3,2016_General Election
32ND SENATE,PAMELA ALTHOFF,Republican,1564,629,40.0,MARENGO 3,2016_General Election
32ND SENATE,PAMELA ALTHOFF,Republican,1225,598,49.0,MARENGO 3,2016_General Election
32ND SENATE,PAMELA ALTHOFF,Republican,1186,479,40.0,MARENGO 3,2016_General Election
32ND SENATE,PAMELA ALTHOFF,Republican,1040,428,41.0,MARENGO 3,2016_General Election
63RD REPRESENTATIVE,STEVEN REICK,Republican,1564,510,33.0,MARENGO 3,2016_General Election
63RD REPRESENTATIVE,STEVEN REICK,Republican,1225,487,40.0,MARENGO 3,2016_General Election
63RD REPRESENTATIVE,STEVEN REICK,Republican,1186,389,33.0,MARENGO 3,2016_General Election
63RD REPRESENTATIVE,STEVEN REICK,Republican,1040,300,29.0,MARENGO 3,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,1225,545,44.0,MARENGO 3,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,1564,543,35.0,MARENGO 3,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,1186,422,36.0,MARENGO 3,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,1040,360,35.0,MARENGO 3,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,1564,46,3.0,MARENGO 3,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,1225,33,3.0,MARENGO 3,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,1186,28,2.0,MARENGO 3,2016_General Election
COMPTROLLER,TIM CURTIN,Green,1564,26,2.0,MARENGO 3,2016_General Election
COMPTROLLER,TIM CURTIN,Green,1040,24,2.0,MARENGO 3,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,1040,24,2.0,MARENGO 3,2016_General Election
COMPTROLLER,TIM CURTIN,Green,1186,22,2.0,MARENGO 3,2016_General Election
COMPTROLLER,TIM CURTIN,Green,1225,17,1.0,MARENGO 3,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,1186,555,47.0,MARENGO 3,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,1186,118,10.0,MARENGO 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,1564,543,35.0,MARENGO 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,1225,486,40.0,MARENGO 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,1040,322,31.0,MARENGO 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,1564,46,3.0,MARENGO 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,1040,39,4.0,MARENGO 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,1225,39,3.0,MARENGO 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,1186,32,3.0,MARENGO 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,1040,16,2.0,MARENGO 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,1564,15,1.0,MARENGO 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,1186,7,1.0,MARENGO 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,1225,3,0.0,MARENGO 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Evan McMullin WRI,NonPartisan,1186,2,0.0,MARENGO 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Write-in,NonPartisan,1186,0,0.0,MARENGO 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Laio Morris WRI,NonPartisan,1186,0,0.0,MARENGO 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,David G . Stack WRI,NonPartisan,1186,0,0.0,MARENGO 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Tom Hoefling WRI,NonPartisan,1186,0,0.0,MARENGO 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Jonathan Lee WRI,NonPartisan,1186,0,0.0,MARENGO 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Dem J. Wysinger WRI,NonPartisan,1186,0,0.0,MARENGO 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Schoenke/Mitch..WRI,NonPartisan,1186,0,0.0,MARENGO 3,2016_General Election
PRESIDENT AND VICE PRESIDENT,Castle/Bradley WRI,NonPartisan,1186,0,0.0,MARENGO 3,2016_General Election
UNITED STATES SENATOR,MARK STEVEN KIRK,Republican,1564,500,32.0,MARENGO 3,2016_General Election
UNITED STATES SENATOR,MARK STEVEN KIRK,Republican,1225,479,39.0,MARENGO 3,2016_General Election
UNITED STATES SENATOR,MARK STEVEN KIRK,Republican,1040,311,30.0,MARENGO 3,2016_General Election
UNITED STATES SENATOR,KENTON McMILLEN,Libertarian,1564,43,3.0,MARENGO 3,2016_General Election
UNITED STATES SENATOR,KENTON McMILLEN,Libertarian,1225,38,3.0,MARENGO 3,2016_General Election
UNITED STATES SENATOR,KENTON McMILLEN,Libertarian,1186,36,3.0,MARENGO 3,2016_General Election
UNITED STATES SENATOR,KENTON McMILLEN,Libertarian,1040,36,3.0,MARENGO 3,2016_General Election
UNITED STATES SENATOR,SCOTT SUMMERS,Green,1564,30,2.0,MARENGO 3,2016_General Election
UNITED STATES SENATOR,SCOTT SUMMERS,Green,1186,24,2.0,MARENGO 3,2016_General Election
UNITED STATES SENATOR,SCOTT SUMMERS,Green,1040,15,1.0,MARENGO 3,2016_General Election
