ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",Republican,401,134,33.0,MCHENRY 22,2016_General Election
14TH CONGRESS,JIM WALZ,Democrat,401,68,17.0,MCHENRY 22,2016_General Election
14TH CONGRESS,Blank Ballots,,401,8,2.0,MCHENRY 22,2016_General Election
14TH CONGRESS,Under Votes,,401,0,0.0,MCHENRY 22,2016_General Election
14TH CONGRESS,Over Votes,,401,0,0.0,MCHENRY 22,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,401,171,43.0,MCHENRY 22,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,401,39,10.0,MCHENRY 22,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,401,0,0.0,MCHENRY 22,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,401,0,0.0,MCHENRY 22,2016_General Election
32ND SENATE,PAMELA ALTHOFF,Republican,401,164,41.0,MCHENRY 22,2016_General Election
32ND SENATE,MELISSA COYNE,Democrat,401,42,10.0,MCHENRY 22,2016_General Election
32ND SENATE,Blank Ballots,,401,4,1.0,MCHENRY 22,2016_General Election
32ND SENATE,Under Votes,,401,0,0.0,MCHENRY 22,2016_General Election
32ND SENATE,Over Votes,,401,0,0.0,MCHENRY 22,2016_General Election
63RD REPRESENTATIVE,STEVEN REICK,Republican,401,132,33.0,MCHENRY 22,2016_General Election
63RD REPRESENTATIVE,JOHN M. BARTMAN,Democrat,401,71,18.0,MCHENRY 22,2016_General Election
63RD REPRESENTATIVE,Blank Ballots,,401,7,2.0,MCHENRY 22,2016_General Election
63RD REPRESENTATIVE,Under Votes,,401,0,0.0,MCHENRY 22,2016_General Election
63RD REPRESENTATIVE,Over Votes,,401,0,0.0,MCHENRY 22,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,401,133,33.0,MCHENRY 22,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,401,59,15.0,MCHENRY 22,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,401,9,2.0,MCHENRY 22,2016_General Election
COMPTROLLER,TIM CURTIN,Green,401,8,2.0,MCHENRY 22,2016_General Election
COMPTROLLER,Blank Ballots,,401,1,0.0,MCHENRY 22,2016_General Election
COMPTROLLER,Under Votes,,401,0,0.0,MCHENRY 22,2016_General Election
COMPTROLLER,Over Votes,,401,0,0.0,MCHENRY 22,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,401,157,39.0,MCHENRY 22,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,401,44,11.0,MCHENRY 22,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,401,9,2.0,MCHENRY 22,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Under Votes,,401,0,0.0,MCHENRY 22,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Over Votes,,401,0,0.0,MCHENRY 22,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,401,129,32.0,MCHENRY 22,2016_General Election
PRESIDENT AND VICE PRESIDENT,HILLARY RODHAM CLINTON,Democrat,401,70,17.0,MCHENRY 22,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,401,6,1.0,MCHENRY 22,2016_General Election
PRESIDENT AND VICE PRESIDENT,Blank Ballots,,401,3,1.0,MCHENRY 22,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,401,1,0.0,MCHENRY 22,2016_General Election
PRESIDENT AND VICE PRESIDENT,Evan McMullin WRI,NonPartisan,401,1,0.0,MCHENRY 22,2016_General Election
PRESIDENT AND VICE PRESIDENT,Under Votes,,401,0,0.0,MCHENRY 22,2016_General Election
PRESIDENT AND VICE PRESIDENT,Over Votes,,401,0,0.0,MCHENRY 22,2016_General Election
PRESIDENT AND VICE PRESIDENT,Write-in,NonPartisan,401,0,0.0,MCHENRY 22,2016_General Election
PRESIDENT AND VICE PRESIDENT,Laio Morris WRI,NonPartisan,401,0,0.0,MCHENRY 22,2016_General Election
PRESIDENT AND VICE PRESIDENT,David G . Stack WRI,NonPartisan,401,0,0.0,MCHENRY 22,2016_General Election
PRESIDENT AND VICE PRESIDENT,Tom Hoefling WRI,NonPartisan,401,0,0.0,MCHENRY 22,2016_General Election
PRESIDENT AND VICE PRESIDENT,Jonathan Lee WRI,NonPartisan,401,0,0.0,MCHENRY 22,2016_General Election
PRESIDENT AND VICE PRESIDENT,Dem J. Wysinger WRI,NonPartisan,401,0,0.0,MCHENRY 22,2016_General Election
PRESIDENT AND VICE PRESIDENT,Schoenke/Mitch..WRI,NonPartisan,401,0,0.0,MCHENRY 22,2016_General Election
PRESIDENT AND VICE PRESIDENT,Castle/Bradley WRI,NonPartisan,401,0,0.0,MCHENRY 22,2016_General Election
PRESIDENT AND VICE PRESIDENT,Kotlikoff/Leam..WRI,NonPartisan,401,0,0.0,MCHENRY 22,2016_General Election
UNITED STATES SENATOR,MARK STEVEN KIRK,Republican,401,111,28.0,MCHENRY 22,2016_General Election
UNITED STATES SENATOR,TAMMY DUCKWORTH,Democrat,401,82,20.0,MCHENRY 22,2016_General Election
UNITED STATES SENATOR,KENTON McMILLEN,Libertarian,401,9,2.0,MCHENRY 22,2016_General Election
UNITED STATES SENATOR,SCOTT SUMMERS,Green,401,5,1.0,MCHENRY 22,2016_General Election
UNITED STATES SENATOR,Blank Ballots,,401,3,1.0,MCHENRY 22,2016_General Election
UNITED STATES SENATOR,Under Votes,,401,0,0.0,MCHENRY 22,2016_General Election
UNITED STATES SENATOR,Over Votes,,401,0,0.0,MCHENRY 22,2016_General Election
UNITED STATES SENATOR,Write-in,NonPartisan,401,0,0.0,MCHENRY 22,2016_General Election
UNITED STATES SENATOR,Jim Brown WRI,NonPartisan,401,0,0.0,MCHENRY 22,2016_General Election
UNITED STATES SENATOR,Susana Sandoval WRI,NonPartisan,401,0,0.0,MCHENRY 22,2016_General Election
UNITED STATES SENATOR,Chad Koppie WRI,NonPartisan,401,0,0.0,MCHENRY 22,2016_General Election
UNITED STATES SENATOR,Eric K J Stewert WRI,NonPartisan,401,0,0.0,MCHENRY 22,2016_General Election
UNITED STATES SENATOR,Chris M Aguayo WRI,NonPartisan,401,0,0.0,MCHENRY 22,2016_General Election
