,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
8100,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,1273,436,34.0,MCHENRY 21,2018_General Election
8155,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,1249,392,31.0,MCHENRY 27,2018_General Election
6216,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,1208,307,25.0,MCHENRY 24,2018_General Election
6239,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,1249,274,22.0,MCHENRY 27,2018_General Election
6195,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,1273,270,21.0,MCHENRY 21,2018_General Election
6224,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,1263,266,21.0,MCHENRY 25,2018_General Election
8127,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,1208,237,20.0,MCHENRY 24,2018_General Election
8137,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,1263,220,17.0,MCHENRY 25,2018_General Election
6188,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,739,207,28.0,MCHENRY 20,2018_General Election
8091,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,739,191,26.0,MCHENRY 20,2018_General Election
6247,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,569,184,32.0,MCHENRY 28,2018_General Election
6209,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,749,173,23.0,MCHENRY 23,2018_General Election
6232,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,492,159,32.0,MCHENRY 26,2018_General Election
8174,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,654,141,22.0,MCHENRY 29,2018_General Election
6255,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,654,122,19.0,MCHENRY 29,2018_General Election
