,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
8330,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,741,249,34.0,NUNDA 11,2018_General Election
6383,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,741,195,26.0,NUNDA 11,2018_General Election
4421,14TH CONGRESS,Under Votes,,741,2,0.0,NUNDA 11,2018_General Election
4422,14TH CONGRESS,Over Votes,,741,0,0.0,NUNDA 11,2018_General Election
8338,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,741,326,44.0,NUNDA 11,2018_General Election
4437,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,741,61,8.0,NUNDA 11,2018_General Election
4438,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,741,0,0.0,NUNDA 11,2018_General Election
10782,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,741,303,41.0,NUNDA 11,2018_General Election
10783,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,741,86,12.0,NUNDA 11,2018_General Election
4439,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,741,55,7.0,NUNDA 11,2018_General Election
4440,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,741,1,0.0,NUNDA 11,2018_General Election
10784,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,741,311,42.0,NUNDA 11,2018_General Election
10785,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,741,76,10.0,NUNDA 11,2018_General Election
4441,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,741,58,8.0,NUNDA 11,2018_General Election
4442,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,741,0,0.0,NUNDA 11,2018_General Election
8336,32ND SENATE,CRAIG WILCOX,REPUBLICAN,741,262,35.0,NUNDA 11,2018_General Election
6389,32ND SENATE,MARY MAHADY,DEMOCRACT,741,176,24.0,NUNDA 11,2018_General Election
4433,32ND SENATE,Under Votes,,741,7,1.0,NUNDA 11,2018_General Election
4434,32ND SENATE,Over Votes,,741,0,0.0,NUNDA 11,2018_General Election
8337,64TH REPRESENTATIVE,TOM WEBER,REPUBLICAN,741,257,35.0,NUNDA 11,2018_General Election
6390,64TH REPRESENTATIVE,TRISHA ZUBERT,DEMOCRACT,741,184,25.0,NUNDA 11,2018_General Election
4435,64TH REPRESENTATIVE,Under Votes,,741,4,1.0,NUNDA 11,2018_General Election
4436,64TH REPRESENTATIVE,Over Votes,,741,0,0.0,NUNDA 11,2018_General Election
8332,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,741,270,36.0,NUNDA 11,2018_General Election
6385,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,741,167,23.0,NUNDA 11,2018_General Election
9505,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,741,5,1.0,NUNDA 11,2018_General Election
4425,ATTORNEY GENERAL,Under Votes,,741,3,0.0,NUNDA 11,2018_General Election
4426,ATTORNEY GENERAL,Over Votes,,741,0,0.0,NUNDA 11,2018_General Election
8334,COMPTROLLER,DARLENE SENGER,REPUBLICAN,741,253,34.0,NUNDA 11,2018_General Election
6387,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,741,181,24.0,NUNDA 11,2018_General Election
9507,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,741,7,1.0,NUNDA 11,2018_General Election
4429,COMPTROLLER,Under Votes,,741,4,1.0,NUNDA 11,2018_General Election
4430,COMPTROLLER,Over Votes,,741,0,0.0,NUNDA 11,2018_General Election
8331,GOVERNOR AND LIEUTENANT GOVERNOR,BRUCE RAUNER,REPUBLICAN,741,275,37.0,NUNDA 11,2018_General Election
6384,GOVERNOR AND LIEUTENANT GOVERNOR,JB PRITZKER,DEMOCRACT,741,150,20.0,NUNDA 11,2018_General Election
