ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
ATTORNEY GENERAL,LISA MADIGAN,Democrat,926,214,23.0,NUNDA 4,2014_General Election
ATTORNEY GENERAL,PAUL M. SCHIMPF,Republican,926,142,15.0,NUNDA 4,2014_General Election
ATTORNEY GENERAL,BEN KOYL,Libertarian,926,28,3.0,NUNDA 4,2014_General Election
ATTORNEY GENERAL,Blank Ballots,,926,5,1.0,NUNDA 4,2014_General Election
ATTORNEY GENERAL,Under Votes,,926,0,0.0,NUNDA 4,2014_General Election
ATTORNEY GENERAL,Over Votes,,926,0,0.0,NUNDA 4,2014_General Election
COMPTROLLER,JUDY BAAR TOPINKA,Republican,926,188,20.0,NUNDA 4,2014_General Election
COMPTROLLER,SHEILA SIMON,Democrat,926,162,17.0,NUNDA 4,2014_General Election
COMPTROLLER,JULIE FOX,Libertarian,926,33,4.0,NUNDA 4,2014_General Election
COMPTROLLER,Blank Ballots,,926,6,1.0,NUNDA 4,2014_General Election
COMPTROLLER,Write-in,NonPartisan,926,0,0.0,NUNDA 4,2014_General Election
COMPTROLLER,TIMOTHY GOODCASE,NonPartisan,926,0,0.0,NUNDA 4,2014_General Election
COMPTROLLER,Under Votes,,926,0,0.0,NUNDA 4,2014_General Election
COMPTROLLER,Over Votes,,926,0,0.0,NUNDA 4,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,YES,NonPartisan,926,305,33.0,NUNDA 4,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,NO,NonPartisan,926,71,8.0,NUNDA 4,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Blank Ballots,,926,13,1.0,NUNDA 4,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Under Votes,,926,0,0.0,NUNDA 4,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Over Votes,,926,0,0.0,NUNDA 4,2014_General Election
D14 REPRESENTATIVE,RANDALL M. HULTGREN,Republican,926,203,22.0,NUNDA 4,2014_General Election
D14 REPRESENTATIVE,DENNIS ANDERSON,Democrat,926,174,19.0,NUNDA 4,2014_General Election
D14 REPRESENTATIVE,Blank Ballots,,926,13,1.0,NUNDA 4,2014_General Election
D14 REPRESENTATIVE,Under Votes,,926,0,0.0,NUNDA 4,2014_General Election
D14 REPRESENTATIVE,Over Votes,,926,0,0.0,NUNDA 4,2014_General Election
D2 JUD BOWMAN,MICHAEL J. BURKE,Republican,926,301,33.0,NUNDA 4,2014_General Election
D2 JUD BOWMAN,Blank Ballots,,926,88,10.0,NUNDA 4,2014_General Election
D2 JUD BOWMAN,Under Votes,,926,0,0.0,NUNDA 4,2014_General Election
D2 JUD BOWMAN,Over Votes,,926,0,0.0,NUNDA 4,2014_General Election
D52 REP ASSEMBLY,DAVID McSWEENEY,Republican,926,224,24.0,NUNDA 4,2014_General Election
D52 REP ASSEMBLY,BILL DOWNS,Democrat,926,153,17.0,NUNDA 4,2014_General Election
D52 REP ASSEMBLY,Blank Ballots,,926,12,1.0,NUNDA 4,2014_General Election
D52 REP ASSEMBLY,Under Votes,,926,0,0.0,NUNDA 4,2014_General Election
D52 REP ASSEMBLY,Over Votes,,926,0,0.0,NUNDA 4,2014_General Election
GOVERNOR/LT GOV,BRUCE RAUNER,Republican,926,212,23.0,NUNDA 4,2014_General Election
GOVERNOR/LT GOV,PAT QUINN,Democrat,926,155,17.0,NUNDA 4,2014_General Election
GOVERNOR/LT GOV,CHAD GRIMM,Libertarian,926,20,2.0,NUNDA 4,2014_General Election
GOVERNOR/LT GOV,Blank Ballots,,926,2,0.0,NUNDA 4,2014_General Election
GOVERNOR/LT GOV,Write-in,NonPartisan,926,0,0.0,NUNDA 4,2014_General Election
GOVERNOR/LT GOV,MARK SMITH,NonPartisan,926,0,0.0,NUNDA 4,2014_General Election
GOVERNOR/LT GOV,ROBERT PEREZ JR,NonPartisan,926,0,0.0,NUNDA 4,2014_General Election
GOVERNOR/LT GOV,MICHAEL W. SCRUGGS,NonPartisan,926,0,0.0,NUNDA 4,2014_General Election
GOVERNOR/LT GOV,RYAN SWEENEY,NonPartisan,926,0,0.0,NUNDA 4,2014_General Election
GOVERNOR/LT GOV,SCOTT SUMMERS,NonPartisan,926,0,0.0,NUNDA 4,2014_General Election
GOVERNOR/LT GOV,AARON MERREIGHN (LG),NonPartisan,926,0,0.0,NUNDA 4,2014_General Election
GOVERNOR/LT GOV,Under Votes,,926,0,0.0,NUNDA 4,2014_General Election
GOVERNOR/LT GOV,Over Votes,,926,0,0.0,NUNDA 4,2014_General Election
HEALTH INSURANCE,YES,NonPartisan,926,253,27.0,NUNDA 4,2014_General Election
HEALTH INSURANCE,NO,NonPartisan,926,132,14.0,NUNDA 4,2014_General Election
HEALTH INSURANCE,Blank Ballots,,926,4,0.0,NUNDA 4,2014_General Election
HEALTH INSURANCE,Under Votes,,926,0,0.0,NUNDA 4,2014_General Election
HEALTH INSURANCE,Over Votes,,926,0,0.0,NUNDA 4,2014_General Election
MILLIONAIRE TAX,YES,NonPartisan,926,198,21.0,NUNDA 4,2014_General Election
MILLIONAIRE TAX,NO,,926,179,19.0,NUNDA 4,2014_General Election
MILLIONAIRE TAX,Blank Ballots,,926,12,1.0,NUNDA 4,2014_General Election
MILLIONAIRE TAX,Under Votes,,926,0,0.0,NUNDA 4,2014_General Election
MILLIONAIRE TAX,Over Votes,,926,0,0.0,NUNDA 4,2014_General Election
MINIMUM WAGE,YES,NonPartisan,926,261,28.0,NUNDA 4,2014_General Election
MINIMUM WAGE,NO,NonPartisan,926,122,13.0,NUNDA 4,2014_General Election
MINIMUM WAGE,Blank Ballots,,926,6,1.0,NUNDA 4,2014_General Election
MINIMUM WAGE,Under Votes,,926,0,0.0,NUNDA 4,2014_General Election
MINIMUM WAGE,Over Votes,,926,0,0.0,NUNDA 4,2014_General Election
RET D2 APP HUTCHINSON,YES,NonPartisan,926,260,28.0,NUNDA 4,2014_General Election
RET D2 APP HUTCHINSON,NO,NonPartisan,926,77,8.0,NUNDA 4,2014_General Election
RET D2 APP HUTCHINSON,Blank Ballots,,926,52,6.0,NUNDA 4,2014_General Election
RET D2 APP HUTCHINSON,Under Votes,,926,0,0.0,NUNDA 4,2014_General Election
RET D2 APP HUTCHINSON,Over Votes,,926,0,0.0,NUNDA 4,2014_General Election
RET D22 CIR CALDWELL,YES,NonPartisan,926,249,27.0,NUNDA 4,2014_General Election
RET D22 CIR CALDWELL,NO,NonPartisan,926,81,9.0,NUNDA 4,2014_General Election
RET D22 CIR CALDWELL,Blank Ballots,,926,59,6.0,NUNDA 4,2014_General Election
RET D22 CIR CALDWELL,Under Votes,,926,0,0.0,NUNDA 4,2014_General Election
RET D22 CIR CALDWELL,Over Votes,,926,0,0.0,NUNDA 4,2014_General Election
RET D22 CIR PRATHER,YES,NonPartisan,926,256,28.0,NUNDA 4,2014_General Election
RET D22 CIR PRATHER,NO,NonPartisan,926,79,9.0,NUNDA 4,2014_General Election
RET D22 CIR PRATHER,Blank Ballots,,926,54,6.0,NUNDA 4,2014_General Election
RET D22 CIR PRATHER,Under Votes,,926,0,0.0,NUNDA 4,2014_General Election
RET D22 CIR PRATHER,Over Votes,,926,0,0.0,NUNDA 4,2014_General Election
RET D22 CIR SULLIVAN,YES,NonPartisan,926,255,28.0,NUNDA 4,2014_General Election
RET D22 CIR SULLIVAN,NO,NonPartisan,926,78,8.0,NUNDA 4,2014_General Election
RET D22 CIR SULLIVAN,Blank Ballots,,926,55,6.0,NUNDA 4,2014_General Election
RET D22 CIR SULLIVAN,Over Votes,,926,1,0.0,NUNDA 4,2014_General Election
RET D22 CIR SULLIVAN,Under Votes,,926,0,0.0,NUNDA 4,2014_General Election
SECRETARY OF STATE,JESSE WHITE,Democrat,926,250,27.0,NUNDA 4,2014_General Election
SECRETARY OF STATE,MICHAEL WEBSTER,Republican,926,119,13.0,NUNDA 4,2014_General Election
SECRETARY OF STATE,CHRISTOPHER MICHEL,Libertarian,926,16,2.0,NUNDA 4,2014_General Election
SECRETARY OF STATE,Blank Ballots,,926,4,0.0,NUNDA 4,2014_General Election
SECRETARY OF STATE,Write-in,NonPartisan,926,0,0.0,NUNDA 4,2014_General Election
SECRETARY OF STATE,SHELDON SCHAFER,NonPartisan,926,0,0.0,NUNDA 4,2014_General Election
SECRETARY OF STATE,Under Votes,,926,0,0.0,NUNDA 4,2014_General Election
SECRETARY OF STATE,Over Votes,,926,0,0.0,NUNDA 4,2014_General Election
SUFFRAGE & ELECTIONS,YES,NonPartisan,926,247,27.0,NUNDA 4,2014_General Election
SUFFRAGE & ELECTIONS,NO,NonPartisan,926,128,14.0,NUNDA 4,2014_General Election
SUFFRAGE & ELECTIONS,Blank Ballots,,926,14,2.0,NUNDA 4,2014_General Election
SUFFRAGE & ELECTIONS,Under Votes,,926,0,0.0,NUNDA 4,2014_General Election
SUFFRAGE & ELECTIONS,Over Votes,,926,0,0.0,NUNDA 4,2014_General Election
TREASURER,TOM CROSS,Republican,926,177,19.0,NUNDA 4,2014_General Election
TREASURER,MICHAEL W. FRERICHS,Democrat,926,166,18.0,NUNDA 4,2014_General Election
TREASURER,MATTHEW SKOPEK,Libertarian,926,32,3.0,NUNDA 4,2014_General Election
TREASURER,Blank Ballots,,926,14,2.0,NUNDA 4,2014_General Election
TREASURER,Under Votes,,926,0,0.0,NUNDA 4,2014_General Election
TREASURER,Over Votes,,926,0,0.0,NUNDA 4,2014_General Election
US SENATE,JAMES D. OBERWEIS,Republican,926,177,19.0,NUNDA 4,2014_General Election
US SENATE,RICHARD J. DURBIN,Democrat,926,176,19.0,NUNDA 4,2014_General Election
US SENATE,SHARON HANSEN,Libertarian,926,36,4.0,NUNDA 4,2014_General Election
US SENATE,Blank Ballots,,926,1,0.0,NUNDA 4,2014_General Election
US SENATE,Write-in,NonPartisan,926,0,0.0,NUNDA 4,2014_General Election
US SENATE,ROGER K. DAVIS,NonPartisan,926,0,0.0,NUNDA 4,2014_General Election
US SENATE,Under Votes,,926,0,0.0,NUNDA 4,2014_General Election
US SENATE,Over Votes,,926,0,0.0,NUNDA 4,2014_General Election
