ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",Republican,1185,470,40.0,NUNDA 6,2016_General Election
14TH CONGRESS,JIM WALZ,Democrat,1185,245,21.0,NUNDA 6,2016_General Election
14TH CONGRESS,Blank Ballots,,1185,27,2.0,NUNDA 6,2016_General Election
14TH CONGRESS,Under Votes,,1185,0,0.0,NUNDA 6,2016_General Election
14TH CONGRESS,Over Votes,,1185,0,0.0,NUNDA 6,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,1185,597,50.0,NUNDA 6,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,1185,145,12.0,NUNDA 6,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,1185,0,0.0,NUNDA 6,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,1185,0,0.0,NUNDA 6,2016_General Election
32ND SENATE,PAMELA ALTHOFF,Republican,1185,515,43.0,NUNDA 6,2016_General Election
32ND SENATE,MELISSA COYNE,Democrat,1185,200,17.0,NUNDA 6,2016_General Election
32ND SENATE,Blank Ballots,,1185,27,2.0,NUNDA 6,2016_General Election
32ND SENATE,Under Votes,,1185,0,0.0,NUNDA 6,2016_General Election
32ND SENATE,Over Votes,,1185,0,0.0,NUNDA 6,2016_General Election
64TH REPRESENTATIVE,BARBARA WHEELER,Republican,1185,608,51.0,NUNDA 6,2016_General Election
64TH REPRESENTATIVE,Blank Ballots,,1185,134,11.0,NUNDA 6,2016_General Election
64TH REPRESENTATIVE,Under Votes,,1185,0,0.0,NUNDA 6,2016_General Election
64TH REPRESENTATIVE,Over Votes,,1185,0,0.0,NUNDA 6,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,1185,426,36.0,NUNDA 6,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,1185,233,20.0,NUNDA 6,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,1185,39,3.0,NUNDA 6,2016_General Election
COMPTROLLER,TIM CURTIN,Green,1185,23,2.0,NUNDA 6,2016_General Election
COMPTROLLER,Blank Ballots,,1185,21,2.0,NUNDA 6,2016_General Election
COMPTROLLER,Under Votes,,1185,0,0.0,NUNDA 6,2016_General Election
COMPTROLLER,Over Votes,,1185,0,0.0,NUNDA 6,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,1185,529,45.0,NUNDA 6,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,1185,152,13.0,NUNDA 6,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,1185,61,5.0,NUNDA 6,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Under Votes,,1185,0,0.0,NUNDA 6,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Over Votes,,1185,0,0.0,NUNDA 6,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,1185,432,36.0,NUNDA 6,2016_General Election
PRESIDENT AND VICE PRESIDENT,HILLARY RODHAM CLINTON,Democrat,1185,241,20.0,NUNDA 6,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,1185,43,4.0,NUNDA 6,2016_General Election
PRESIDENT AND VICE PRESIDENT,Blank Ballots,,1185,15,1.0,NUNDA 6,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,1185,8,1.0,NUNDA 6,2016_General Election
PRESIDENT AND VICE PRESIDENT,Evan McMullin WRI,NonPartisan,1185,2,0.0,NUNDA 6,2016_General Election
PRESIDENT AND VICE PRESIDENT,Castle/Bradley WRI,NonPartisan,1185,1,0.0,NUNDA 6,2016_General Election
PRESIDENT AND VICE PRESIDENT,Under Votes,,1185,0,0.0,NUNDA 6,2016_General Election
