,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
8517,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,1854,427,23.0,RICHMOND 2,2018_General Election
6542,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,1854,307,17.0,RICHMOND 2,2018_General Election
4895,14TH CONGRESS,Under Votes,,1854,4,0.0,RICHMOND 2,2018_General Election
4896,14TH CONGRESS,Over Votes,,1854,0,0.0,RICHMOND 2,2018_General Election
8525,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,1854,550,30.0,RICHMOND 2,2018_General Election
4911,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,1854,99,5.0,RICHMOND 2,2018_General Election
4912,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,1854,0,0.0,RICHMOND 2,2018_General Election
10882,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,1854,485,26.0,RICHMOND 2,2018_General Election
10883,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,1854,159,9.0,RICHMOND 2,2018_General Election
4913,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,1854,92,5.0,RICHMOND 2,2018_General Election
4914,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,1854,1,0.0,RICHMOND 2,2018_General Election
10884,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,1854,506,27.0,RICHMOND 2,2018_General Election
10885,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,1854,143,8.0,RICHMOND 2,2018_General Election
4915,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,1854,88,5.0,RICHMOND 2,2018_General Election
4916,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,1854,0,0.0,RICHMOND 2,2018_General Election
8523,32ND SENATE,CRAIG WILCOX,REPUBLICAN,1854,452,24.0,RICHMOND 2,2018_General Election
6548,32ND SENATE,MARY MAHADY,DEMOCRACT,1854,275,15.0,RICHMOND 2,2018_General Election
4907,32ND SENATE,Under Votes,,1854,10,1.0,RICHMOND 2,2018_General Election
4908,32ND SENATE,Over Votes,,1854,0,0.0,RICHMOND 2,2018_General Election
8524,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,1854,553,30.0,RICHMOND 2,2018_General Election
4909,63RD REPRESENTATIVE,Under Votes,,1854,79,4.0,RICHMOND 2,2018_General Election
4910,63RD REPRESENTATIVE,Over Votes,,1854,0,0.0,RICHMOND 2,2018_General Election
8519,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,1854,451,24.0,RICHMOND 2,2018_General Election
6544,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,1854,265,14.0,RICHMOND 2,2018_General Election
9605,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,1854,13,1.0,RICHMOND 2,2018_General Election
4899,ATTORNEY GENERAL,Under Votes,,1854,8,0.0,RICHMOND 2,2018_General Election
4900,ATTORNEY GENERAL,Over Votes,,1854,0,0.0,RICHMOND 2,2018_General Election
8521,COMPTROLLER,DARLENE SENGER,REPUBLICAN,1854,421,23.0,RICHMOND 2,2018_General Election
6546,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,1854,295,16.0,RICHMOND 2,2018_General Election
9607,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,1854,12,1.0,RICHMOND 2,2018_General Election
4903,COMPTROLLER,Under Votes,,1854,9,0.0,RICHMOND 2,2018_General Election
4904,COMPTROLLER,Over Votes,,1854,0,0.0,RICHMOND 2,2018_General Election
8518,GOVERNOR AND LIEUTENANT GOVERNOR,BRUCE RAUNER,REPUBLICAN,1854,436,24.0,RICHMOND 2,2018_General Election
6543,GOVERNOR AND LIEUTENANT GOVERNOR,JB PRITZKER,DEMOCRACT,1854,252,14.0,RICHMOND 2,2018_General Election
9840,GOVERNOR AND LIEUTENANT GOVERNOR,"WILLIAM ""SAM"" McCANN",CONSERVATIVE,1854,28,2.0,RICHMOND 2,2018_General Election
9604,GOVERNOR AND LIEUTENANT GOVERNOR,GRAYSON KASH JACKSON,LIBERTARIAN,1854,15,1.0,RICHMOND 2,2018_General Election
4897,GOVERNOR AND LIEUTENANT GOVERNOR,Under Votes,,1854,4,0.0,RICHMOND 2,2018_General Election
4898,GOVERNOR AND LIEUTENANT GOVERNOR,Over Votes,,1854,1,0.0,RICHMOND 2,2018_General Election
10881,GOVERNOR AND LIEUTENANT GOVERNOR,Write-in,NONPARTISAN,1854,1,0.0,RICHMOND 2,2018_General Election
6545,SECRETARY OF STATE,JESSE WHITE,DEMOCRACT,1854,397,21.0,RICHMOND 2,2018_General Election
8520,SECRETARY OF STATE,JASON HELLAND,REPUBLICAN,1854,324,17.0,RICHMOND 2,2018_General Election
4901,SECRETARY OF STATE,Under Votes,,1854,8,0.0,RICHMOND 2,2018_General Election
9606,SECRETARY OF STATE,STEVE DUTNER,LIBERTARIAN,1854,8,0.0,RICHMOND 2,2018_General Election
4902,SECRETARY OF STATE,Over Votes,,1854,0,0.0,RICHMOND 2,2018_General Election
8522,TREASURER,JIM DODGE,REPUBLICAN,1854,434,23.0,RICHMOND 2,2018_General Election
6547,TREASURER,MICHAEL W. FRERICHS,DEMOCRACT,1854,270,15.0,RICHMOND 2,2018_General Election
9608,TREASURER,MICHAEL LEHENEY,LIBERTARIAN,1854,17,1.0,RICHMOND 2,2018_General Election
4905,TREASURER,Under Votes,,1854,16,1.0,RICHMOND 2,2018_General Election
4906,TREASURER,Over Votes,,1854,0,0.0,RICHMOND 2,2018_General Election
