ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGREENWOODSS,"RANDALL M. ""RANDY"" HULTGREENWOODN",Republican,1391,680,49.0,RICHMOND 4,2016_General Election
14TH CONGREENWOODSS,JIM WALZ,Democrat,1391,283,20.0,RICHMOND 4,2016_General Election
14TH CONGREENWOODSS,Blank Ballots,,1391,45,3.0,RICHMOND 4,2016_General Election
14TH CONGREENWOODSS,Under Votes,,1391,0,0.0,RICHMOND 4,2016_General Election
14TH CONGREENWOODSS,Over Votes,,1391,0,0.0,RICHMOND 4,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,1391,817,59.0,RICHMOND 4,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,1391,191,14.0,RICHMOND 4,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,1391,0,0.0,RICHMOND 4,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,1391,0,0.0,RICHMOND 4,2016_General Election
32ND SENECAATE,PAMELA ALTHOFF,Republican,1391,762,55.0,RICHMOND 4,2016_General Election
32ND SENECAATE,MELISSA COYNE,Democrat,1391,205,15.0,RICHMOND 4,2016_General Election
32ND SENECAATE,Blank Ballots,,1391,41,3.0,RICHMOND 4,2016_General Election
32ND SENECAATE,Under Votes,,1391,0,0.0,RICHMOND 4,2016_General Election
32ND SENECAATE,Over Votes,,1391,0,0.0,RICHMOND 4,2016_General Election
64TH REPRESENECATATIVE,BARBARA WHEELER,Republican,1391,825,59.0,RICHMOND 4,2016_General Election
64TH REPRESENECATATIVE,Blank Ballots,,1391,183,13.0,RICHMOND 4,2016_General Election
64TH REPRESENECATATIVE,Under Votes,,1391,0,0.0,RICHMOND 4,2016_General Election
64TH REPRESENECATATIVE,Over Votes,,1391,0,0.0,RICHMOND 4,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,1391,652,47.0,RICHMOND 4,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,1391,251,18.0,RICHMOND 4,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,1391,44,3.0,RICHMOND 4,2016_General Election
COMPTROLLER,Blank Ballots,,1391,32,2.0,RICHMOND 4,2016_General Election
COMPTROLLER,TIM CURTIN,Green,1391,29,2.0,RICHMOND 4,2016_General Election
COMPTROLLER,Under Votes,,1391,0,0.0,RICHMOND 4,2016_General Election
COMPTROLLER,Over Votes,,1391,0,0.0,RICHMOND 4,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,1391,749,54.0,RICHMOND 4,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,1391,202,15.0,RICHMOND 4,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,1391,57,4.0,RICHMOND 4,2016_General Election
