ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
ATTORNEY GENERAL,PAUL M. SCHIMPF,Republican,2029,532,26.0,RILEY,2014_General Election
ATTORNEY GENERAL,LISA MADIGAN,Democrat,2029,445,22.0,RILEY,2014_General Election
ATTORNEY GENERAL,BEN KOYL,Libertarian,2029,28,1.0,RILEY,2014_General Election
ATTORNEY GENERAL,Blank Ballots,,2029,17,1.0,RILEY,2014_General Election
ATTORNEY GENERAL,Under Votes,,2029,0,0.0,RILEY,2014_General Election
ATTORNEY GENERAL,Over Votes,,2029,0,0.0,RILEY,2014_General Election
COMPTROLLER,JUDY BAAR TOPINKA,Republican,2029,619,31.0,RILEY,2014_General Election
COMPTROLLER,SHEILA SIMON,Democrat,2029,306,15.0,RILEY,2014_General Election
COMPTROLLER,JULIE FOX,Libertarian,2029,82,4.0,RILEY,2014_General Election
COMPTROLLER,Blank Ballots,,2029,14,1.0,RILEY,2014_General Election
COMPTROLLER,Over Votes,,2029,1,0.0,RILEY,2014_General Election
COMPTROLLER,Write-in,NonPartisan,2029,0,0.0,RILEY,2014_General Election
COMPTROLLER,TIMOTHY GOODCASE,NonPartisan,2029,0,0.0,RILEY,2014_General Election
COMPTROLLER,Under Votes,,2029,0,0.0,RILEY,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,YES,NonPartisan,2029,754,37.0,RILEY,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,NO,NonPartisan,2029,239,12.0,RILEY,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Blank Ballots,,2029,29,1.0,RILEY,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Under Votes,,2029,0,0.0,RILEY,2014_General Election
CRIME VICTIMS BILL OF RIGHTS,Over Votes,,2029,0,0.0,RILEY,2014_General Election
D14 REPRESENTATIVE,RANDALL M. HULTGREN,Republican,2029,659,32.0,RILEY,2014_General Election
D14 REPRESENTATIVE,DENNIS ANDERSON,Democrat,2029,323,16.0,RILEY,2014_General Election
D14 REPRESENTATIVE,Blank Ballots,,2029,40,2.0,RILEY,2014_General Election
D14 REPRESENTATIVE,Under Votes,,2029,0,0.0,RILEY,2014_General Election
D14 REPRESENTATIVE,Over Votes,,2029,0,0.0,RILEY,2014_General Election
D2 JUD BOWMAN,MICHAEL J. BURKE,Republican,2029,856,42.0,RILEY,2014_General Election
D2 JUD BOWMAN,Blank Ballots,,2029,166,8.0,RILEY,2014_General Election
D2 JUD BOWMAN,Under Votes,,2029,0,0.0,RILEY,2014_General Election
D2 JUD BOWMAN,Over Votes,,2029,0,0.0,RILEY,2014_General Election
D63 REP ASSEMBLY,JACK D. FRANKS,Democrat,2029,609,30.0,RILEY,2014_General Election
D63 REP ASSEMBLY,STEVEN REICK,Republican,2029,400,20.0,RILEY,2014_General Election
D63 REP ASSEMBLY,Blank Ballots,,2029,13,1.0,RILEY,2014_General Election
D63 REP ASSEMBLY,Under Votes,,2029,0,0.0,RILEY,2014_General Election
D63 REP ASSEMBLY,Over Votes,,2029,0,0.0,RILEY,2014_General Election
GOVERNOR/LT GOV,BRUCE RAUNER,Republican,2029,740,36.0,RILEY,2014_General Election
GOVERNOR/LT GOV,PAT QUINN,Democrat,2029,245,12.0,RILEY,2014_General Election
GOVERNOR/LT GOV,CHAD GRIMM,Libertarian,2029,31,2.0,RILEY,2014_General Election
GOVERNOR/LT GOV,Blank Ballots,,2029,6,0.0,RILEY,2014_General Election
GOVERNOR/LT GOV,Write-in,NonPartisan,2029,0,0.0,RILEY,2014_General Election
GOVERNOR/LT GOV,MARK SMITH,NonPartisan,2029,0,0.0,RILEY,2014_General Election
