ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGREENWOODSS,"RANDALL M. ""RANDY"" HULTGREENWOODN",Republican,2122,929,44.0,RILEY,2016_General Election
14TH CONGREENWOODSS,JIM WALZ,Democrat,2122,450,21.0,RILEY,2016_General Election
14TH CONGREENWOODSS,Blank Ballots,,2122,73,3.0,RILEY,2016_General Election
14TH CONGREENWOODSS,Under Votes,,2122,0,0.0,RILEY,2016_General Election
14TH CONGREENWOODSS,Over Votes,,2122,0,0.0,RILEY,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,2122,1203,57.0,RILEY,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,2122,249,12.0,RILEY,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,2122,0,0.0,RILEY,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,2122,0,0.0,RILEY,2016_General Election
32ND SENECAATE,PAMELA ALTHOFF,Republican,2122,1039,49.0,RILEY,2016_General Election
32ND SENECAATE,MELISSA COYNE,Democrat,2122,345,16.0,RILEY,2016_General Election
32ND SENECAATE,Blank Ballots,,2122,68,3.0,RILEY,2016_General Election
32ND SENECAATE,Under Votes,,2122,0,0.0,RILEY,2016_General Election
32ND SENECAATE,Over Votes,,2122,0,0.0,RILEY,2016_General Election
63RD REPRESENECATATIVE,STEVEN REICK,Republican,2122,804,38.0,RILEY,2016_General Election
63RD REPRESENECATATIVE,JOHN M. BARTMAN,Democrat,2122,595,28.0,RILEY,2016_General Election
63RD REPRESENECATATIVE,Blank Ballots,,2122,53,2.0,RILEY,2016_General Election
63RD REPRESENECATATIVE,Under Votes,,2122,0,0.0,RILEY,2016_General Election
63RD REPRESENECATATIVE,Over Votes,,2122,0,0.0,RILEY,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,2122,900,42.0,RILEY,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,2122,422,20.0,RILEY,2016_General Election
COMPTROLLER,Blank Ballots,,2122,55,3.0,RILEY,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,2122,43,2.0,RILEY,2016_General Election
COMPTROLLER,TIM CURTIN,Green,2122,32,2.0,RILEY,2016_General Election
COMPTROLLER,Under Votes,,2122,0,0.0,RILEY,2016_General Election
COMPTROLLER,Over Votes,,2122,0,0.0,RILEY,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,2122,1100,52.0,RILEY,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,2122,251,12.0,RILEY,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,2122,101,5.0,RILEY,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Under Votes,,2122,0,0.0,RILEY,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Over Votes,,2122,0,0.0,RILEY,2016_General Election
