,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
8544,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,2244,659,29.0,RILEY,2018_General Election
6564,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,2244,505,23.0,RILEY,2018_General Election
4964,14TH CONGRESS,Under Votes,,2244,8,0.0,RILEY,2018_General Election
4965,14TH CONGRESS,Over Votes,,2244,0,0.0,RILEY,2018_General Election
8553,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,TIFFANY DAVIS,REPUBLICAN,2244,884,39.0,RILEY,2018_General Election
4982,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Under Votes,,2244,161,7.0,RILEY,2018_General Election
4983,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Over Votes,,2244,0,0.0,RILEY,2018_General Election
8552,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,2244,890,40.0,RILEY,2018_General Election
4980,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,2244,147,7.0,RILEY,2018_General Election
4981,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,2244,0,0.0,RILEY,2018_General Election
10897,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,2244,789,35.0,RILEY,2018_General Election
10898,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,2244,237,11.0,RILEY,2018_General Election
4984,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,2244,143,6.0,RILEY,2018_General Election
4985,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,2244,0,0.0,RILEY,2018_General Election
10899,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,2244,803,36.0,RILEY,2018_General Election
10900,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,2244,225,10.0,RILEY,2018_General Election
4986,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,2244,141,6.0,RILEY,2018_General Election
4987,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,2244,0,0.0,RILEY,2018_General Election
8550,32ND SENATE,CRAIG WILCOX,REPUBLICAN,2244,738,33.0,RILEY,2018_General Election
6570,32ND SENATE,MARY MAHADY,DEMOCRACT,2244,423,19.0,RILEY,2018_General Election
4976,32ND SENATE,Under Votes,,2244,8,0.0,RILEY,2018_General Election
4977,32ND SENATE,Over Votes,,2244,0,0.0,RILEY,2018_General Election
8551,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,2244,886,39.0,RILEY,2018_General Election
4978,63RD REPRESENTATIVE,Under Votes,,2244,129,6.0,RILEY,2018_General Election
4979,63RD REPRESENTATIVE,Over Votes,,2244,0,0.0,RILEY,2018_General Election
8546,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,2244,729,32.0,RILEY,2018_General Election
6566,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,2244,405,18.0,RILEY,2018_General Election
9620,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,2244,26,1.0,RILEY,2018_General Election
4968,ATTORNEY GENERAL,Under Votes,,2244,9,0.0,RILEY,2018_General Election
4969,ATTORNEY GENERAL,Over Votes,,2244,0,0.0,RILEY,2018_General Election
8548,COMPTROLLER,DARLENE SENGER,REPUBLICAN,2244,679,30.0,RILEY,2018_General Election
6568,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,2244,445,20.0,RILEY,2018_General Election
9622,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,2244,34,2.0,RILEY,2018_General Election
4972,COMPTROLLER,Under Votes,,2244,10,0.0,RILEY,2018_General Election
4973,COMPTROLLER,Over Votes,,2244,1,0.0,RILEY,2018_General Election
8545,GOVERNOR AND LIEUTENANT GOVERNOR,BRUCE RAUNER,REPUBLICAN,2244,709,32.0,RILEY,2018_General Election
6565,GOVERNOR AND LIEUTENANT GOVERNOR,JB PRITZKER,DEMOCRACT,2244,376,17.0,RILEY,2018_General Election
9843,GOVERNOR AND LIEUTENANT GOVERNOR,"WILLIAM ""SAM"" McCANN",CONSERVATIVE,2244,33,1.0,RILEY,2018_General Election
9619,GOVERNOR AND LIEUTENANT GOVERNOR,GRAYSON KASH JACKSON,LIBERTARIAN,2244,30,1.0,RILEY,2018_General Election
4966,GOVERNOR AND LIEUTENANT GOVERNOR,Under Votes,,2244,12,1.0,RILEY,2018_General Election
10896,GOVERNOR AND LIEUTENANT GOVERNOR,Write-in,NONPARTISAN,2244,6,0.0,RILEY,2018_General Election
4967,GOVERNOR AND LIEUTENANT GOVERNOR,Over Votes,,2244,3,0.0,RILEY,2018_General Election
6567,SECRETARY OF STATE,JESSE WHITE,DEMOCRACT,2244,617,27.0,RILEY,2018_General Election
8547,SECRETARY OF STATE,JASON HELLAND,REPUBLICAN,2244,521,23.0,RILEY,2018_General Election
9621,SECRETARY OF STATE,STEVE DUTNER,LIBERTARIAN,2244,26,1.0,RILEY,2018_General Election
4970,SECRETARY OF STATE,Under Votes,,2244,5,0.0,RILEY,2018_General Election
4971,SECRETARY OF STATE,Over Votes,,2244,0,0.0,RILEY,2018_General Election
8549,TREASURER,JIM DODGE,REPUBLICAN,2244,698,31.0,RILEY,2018_General Election
6569,TREASURER,MICHAEL W. FRERICHS,DEMOCRACT,2244,419,19.0,RILEY,2018_General Election
9623,TREASURER,MICHAEL LEHENEY,LIBERTARIAN,2244,37,2.0,RILEY,2018_General Election
4974,TREASURER,Under Votes,,2244,15,1.0,RILEY,2018_General Election
4975,TREASURER,Over Votes,,2244,0,0.0,RILEY,2018_General Election
