ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
14TH CONGREENWOODSS,"RANDALL M. ""RANDY"" HULTGREENWOODN",Republican,1143,546,48.0,SENECA 2,2016_General Election
14TH CONGREENWOODSS,JIM WALZ,Democrat,1143,219,19.0,SENECA 2,2016_General Election
14TH CONGREENWOODSS,Blank Ballots,,1143,27,2.0,SENECA 2,2016_General Election
14TH CONGREENWOODSS,Under Votes,,1143,0,0.0,SENECA 2,2016_General Election
14TH CONGREENWOODSS,Over Votes,,1143,0,0.0,SENECA 2,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,JAMES S. COWLIN,Republican,1143,632,55.0,SENECA 2,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Blank Ballots,,1143,160,14.0,SENECA 2,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Under Votes,,1143,0,0.0,SENECA 2,2016_General Election
22ND CIRCUIT- GRAHAM VACANCY,Over Votes,,1143,0,0.0,SENECA 2,2016_General Election
32ND SENECAATE,PAMELA ALTHOFF,Republican,1143,567,50.0,SENECA 2,2016_General Election
32ND SENECAATE,MELISSA COYNE,Democrat,1143,204,18.0,SENECA 2,2016_General Election
32ND SENECAATE,Blank Ballots,,1143,21,2.0,SENECA 2,2016_General Election
32ND SENECAATE,Under Votes,,1143,0,0.0,SENECA 2,2016_General Election
32ND SENECAATE,Over Votes,,1143,0,0.0,SENECA 2,2016_General Election
63RD REPRESENECATATIVE,STEVEN REICK,Republican,1143,493,43.0,SENECA 2,2016_General Election
63RD REPRESENECATATIVE,JOHN M. BARTMAN,Democrat,1143,282,25.0,SENECA 2,2016_General Election
63RD REPRESENECATATIVE,Blank Ballots,,1143,17,1.0,SENECA 2,2016_General Election
63RD REPRESENECATATIVE,Under Votes,,1143,0,0.0,SENECA 2,2016_General Election
63RD REPRESENECATATIVE,Over Votes,,1143,0,0.0,SENECA 2,2016_General Election
COMPTROLLER,LESLIE GEISSLER MUNGER,Republican,1143,522,46.0,SENECA 2,2016_General Election
COMPTROLLER,SUSANA MENDOZA,Democrat,1143,205,18.0,SENECA 2,2016_General Election
COMPTROLLER,CLAIRE BALL,Libertarian,1143,26,2.0,SENECA 2,2016_General Election
COMPTROLLER,TIM CURTIN,Green,1143,21,2.0,SENECA 2,2016_General Election
COMPTROLLER,Blank Ballots,,1143,18,2.0,SENECA 2,2016_General Election
COMPTROLLER,Under Votes,,1143,0,0.0,SENECA 2,2016_General Election
COMPTROLLER,Over Votes,,1143,0,0.0,SENECA 2,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,YES,NonPartisan,1143,570,50.0,SENECA 2,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,NO,NonPartisan,1143,176,15.0,SENECA 2,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Blank Ballots,,1143,46,4.0,SENECA 2,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Under Votes,,1143,0,0.0,SENECA 2,2016_General Election
For the proposed addition of Section 11 to Article IX of the Illinois Constitution.,Over Votes,,1143,0,0.0,SENECA 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,DONALD J. TRUMP,Republican,1143,484,42.0,SENECA 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,HILLARY RODHAM CLINTON,Democrat,1143,236,21.0,SENECA 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,GARY JOHNSON,Libertarian,1143,36,3.0,SENECA 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Blank Ballots,,1143,17,1.0,SENECA 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,JILL STEIN,Green,1143,14,1.0,SENECA 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Evan McMullin WRI,NonPartisan,1143,5,0.0,SENECA 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Under Votes,,1143,0,0.0,SENECA 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Over Votes,,1143,0,0.0,SENECA 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Write-in,NonPartisan,1143,0,0.0,SENECA 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Laio Morris WRI,NonPartisan,1143,0,0.0,SENECA 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,David G . Stack WRI,NonPartisan,1143,0,0.0,SENECA 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Tom Hoefling WRI,NonPartisan,1143,0,0.0,SENECA 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Jonathan Lee WRI,NonPartisan,1143,0,0.0,SENECA 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Dem J. Wysinger WRI,NonPartisan,1143,0,0.0,SENECA 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Schoenke/Mitch..WRI,NonPartisan,1143,0,0.0,SENECA 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Castle/Bradley WRI,NonPartisan,1143,0,0.0,SENECA 2,2016_General Election
PRESIDENT AND VICE PRESIDENT,Kotlikoff/Leam..WRI,NonPartisan,1143,0,0.0,SENECA 2,2016_General Election
UNITED STATES SENECAATOR,MARK STEVEN KIRK,Republican,1143,461,40.0,SENECA 2,2016_General Election
UNITED STATES SENECAATOR,TAMMY DUCKWORTH,Democrat,1143,245,21.0,SENECA 2,2016_General Election
UNITED STATES SENECAATOR,KENTON McMILLEN,Libertarian,1143,45,4.0,SENECA 2,2016_General Election
UNITED STATES SENECAATOR,Blank Ballots,,1143,20,2.0,SENECA 2,2016_General Election
UNITED STATES SENECAATOR,SCOTT SUMMERS,Green,1143,20,2.0,SENECA 2,2016_General Election
UNITED STATES SENECAATOR,Jim Brown WRI,NonPartisan,1143,1,0.0,SENECA 2,2016_General Election
UNITED STATES SENECAATOR,Under Votes,,1143,0,0.0,SENECA 2,2016_General Election
UNITED STATES SENECAATOR,Over Votes,,1143,0,0.0,SENECA 2,2016_General Election
UNITED STATES SENECAATOR,Write-in,NonPartisan,1143,0,0.0,SENECA 2,2016_General Election
UNITED STATES SENECAATOR,Susana Sandoval WRI,NonPartisan,1143,0,0.0,SENECA 2,2016_General Election
UNITED STATES SENECAATOR,Chad Koppie WRI,NonPartisan,1143,0,0.0,SENECA 2,2016_General Election
UNITED STATES SENECAATOR,Eric K J Stewert WRI,NonPartisan,1143,0,0.0,SENECA 2,2016_General Election
UNITED STATES SENECAATOR,Chris M Aguayo WRI,NonPartisan,1143,0,0.0,SENECA 2,2016_General Election
