,ContestName,CandidateName,PartyName,Registration,VoteCount,VoterTurnout,PrecinctName,ElectionYear
8564,14TH CONGRESS,"RANDALL M. ""RANDY"" HULTGREN",REPUBLICAN,1170,432,37.0,SENECA 2,2018_General Election
6578,14TH CONGRESS,LAUREN UNDERWOOD,DEMOCRACT,1170,258,22.0,SENECA 2,2018_General Election
5014,14TH CONGRESS,Under Votes,,1170,2,0.0,SENECA 2,2018_General Election
5015,14TH CONGRESS,Over Votes,,1170,0,0.0,SENECA 2,2018_General Election
8573,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,TIFFANY DAVIS,REPUBLICAN,1170,521,45.0,SENECA 2,2018_General Election
5032,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Under Votes,,1170,105,9.0,SENECA 2,2018_General Election
5033,22ND CIRCUIT - 1ST SUBCIRCUIT - WEECH VACANCY,Over Votes,,1170,0,0.0,SENECA 2,2018_General Election
8572,22ND CIRCUIT - McINTYRE VACANCY,ROBERT WILBRANDT,REPUBLICAN,1170,530,45.0,SENECA 2,2018_General Election
5030,22ND CIRCUIT - McINTYRE VACANCY,Under Votes,,1170,96,8.0,SENECA 2,2018_General Election
5031,22ND CIRCUIT - McINTYRE VACANCY,Over Votes,,1170,0,0.0,SENECA 2,2018_General Election
10907,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - YES,NONPARTISAN,1170,461,39.0,SENECA 2,2018_General Election
10908,22ND CIRCUIT - RETAIN CHMIEL,MICHAEL J. CHMIEL - NO,NONPARTISAN,1170,141,12.0,SENECA 2,2018_General Election
5034,22ND CIRCUIT - RETAIN CHMIEL,Under Votes,,1170,90,8.0,SENECA 2,2018_General Election
5035,22ND CIRCUIT - RETAIN CHMIEL,Over Votes,,1170,0,0.0,SENECA 2,2018_General Election
10909,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - YES,NONPARTISAN,1170,478,41.0,SENECA 2,2018_General Election
10910,2ND APPELLATE - RETAIN MCLAREN,ROBERT D. MCLAREN - NO,NONPARTISAN,1170,120,10.0,SENECA 2,2018_General Election
5036,2ND APPELLATE - RETAIN MCLAREN,Under Votes,,1170,94,8.0,SENECA 2,2018_General Election
5037,2ND APPELLATE - RETAIN MCLAREN,Over Votes,,1170,0,0.0,SENECA 2,2018_General Election
8570,32ND SENATE,CRAIG WILCOX,REPUBLICAN,1170,461,39.0,SENECA 2,2018_General Election
6584,32ND SENATE,MARY MAHADY,DEMOCRACT,1170,221,19.0,SENECA 2,2018_General Election
5026,32ND SENATE,Under Votes,,1170,10,1.0,SENECA 2,2018_General Election
5027,32ND SENATE,Over Votes,,1170,0,0.0,SENECA 2,2018_General Election
8571,63RD REPRESENTATIVE,STEVEN REICK,REPUBLICAN,1170,521,45.0,SENECA 2,2018_General Election
5028,63RD REPRESENTATIVE,Under Votes,,1170,86,7.0,SENECA 2,2018_General Election
5029,63RD REPRESENTATIVE,Over Votes,,1170,0,0.0,SENECA 2,2018_General Election
8566,ATTORNEY GENERAL,ERIKA HAROLD,REPUBLICAN,1170,456,39.0,SENECA 2,2018_General Election
6580,ATTORNEY GENERAL,KWAME RAOUL,DEMOCRACT,1170,217,19.0,SENECA 2,2018_General Election
9630,ATTORNEY GENERAL,BUBBA HARSY,LIBERTARIAN,1170,13,1.0,SENECA 2,2018_General Election
5018,ATTORNEY GENERAL,Under Votes,,1170,6,1.0,SENECA 2,2018_General Election
5019,ATTORNEY GENERAL,Over Votes,,1170,0,0.0,SENECA 2,2018_General Election
8568,COMPTROLLER,DARLENE SENGER,REPUBLICAN,1170,426,36.0,SENECA 2,2018_General Election
6582,COMPTROLLER,SUSANA A. MENDOZA,DEMOCRACT,1170,247,21.0,SENECA 2,2018_General Election
9632,COMPTROLLER,CLAIRE BALL,LIBERTARIAN,1170,14,1.0,SENECA 2,2018_General Election
5022,COMPTROLLER,Under Votes,,1170,5,0.0,SENECA 2,2018_General Election
5023,COMPTROLLER,Over Votes,,1170,0,0.0,SENECA 2,2018_General Election
8565,GOVERNOR AND LIEUTENANT GOVERNOR,BRUCE RAUNER,REPUBLICAN,1170,439,38.0,SENECA 2,2018_General Election
6579,GOVERNOR AND LIEUTENANT GOVERNOR,JB PRITZKER,DEMOCRACT,1170,191,16.0,SENECA 2,2018_General Election
9845,GOVERNOR AND LIEUTENANT GOVERNOR,"WILLIAM ""SAM"" McCANN",CONSERVATIVE,1170,31,3.0,SENECA 2,2018_General Election
9629,GOVERNOR AND LIEUTENANT GOVERNOR,GRAYSON KASH JACKSON,LIBERTARIAN,1170,20,2.0,SENECA 2,2018_General Election
10906,GOVERNOR AND LIEUTENANT GOVERNOR,Write-in,NONPARTISAN,1170,6,1.0,SENECA 2,2018_General Election
5016,GOVERNOR AND LIEUTENANT GOVERNOR,Under Votes,,1170,5,0.0,SENECA 2,2018_General Election
5017,GOVERNOR AND LIEUTENANT GOVERNOR,Over Votes,,1170,0,0.0,SENECA 2,2018_General Election
